date,crisis,isPartial
2015-01-04,48,False
2015-01-11,50,False
2015-01-18,51,False
2015-01-25,51,False
2015-02-01,55,False
2015-02-08,54,False
2015-02-15,57,False
2015-02-22,61,False
2015-03-01,59,False
2015-03-08,58,False
2015-03-15,55,False
2015-03-22,65,False
2015-03-29,63,False
2015-04-05,65,False
2015-04-12,71,False
2015-04-19,75,False
2015-04-26,75,False
2015-05-03,73,False
2015-05-10,68,False
2015-05-17,63,False
2015-05-24,60,False
2015-05-31,59,False
2015-06-07,54,False
2015-06-14,46,False
2015-06-21,50,False
2015-06-28,78,False
2015-07-05,73,False
2015-07-12,57,False
2015-07-19,46,False
2015-07-26,46,False
2015-08-02,46,False
2015-08-09,45,False
2015-08-16,48,False
2015-08-23,51,False
2015-08-30,73,False
2015-09-06,91,False
2015-09-13,85,False
2015-09-20,71,False
2015-09-27,68,False
2015-10-04,70,False
2015-10-11,70,False
2015-10-18,73,False
2015-10-25,90,False
2015-11-01,100,False
2015-11-08,88,False
2015-11-15,87,False
2015-11-22,52,False
2015-11-29,72,False
2015-12-06,76,False
2015-12-13,62,False
2015-12-20,41,False
2015-12-27,40,False
