date,crisis,isPartial
2013-01-06,69,False
2013-01-13,87,False
2013-01-20,73,False
2013-01-27,64,False
2013-02-03,71,False
2013-02-10,73,False
2013-02-17,82,False
2013-02-24,92,False
2013-03-03,81,False
2013-03-10,73,False
2013-03-17,87,False
2013-03-24,87,False
2013-03-31,83,False
2013-04-07,88,False
2013-04-14,95,False
2013-04-21,97,False
2013-04-28,100,False
2013-05-05,91,False
2013-05-12,89,False
2013-05-19,78,False
2013-05-26,73,False
2013-06-02,67,False
2013-06-09,62,False
2013-06-16,57,False
2013-06-23,61,False
2013-06-30,52,False
2013-07-07,55,False
2013-07-14,57,False
2013-07-21,55,False
2013-07-28,59,False
2013-08-04,58,False
2013-08-11,57,False
2013-08-18,58,False
2013-08-25,63,False
2013-09-01,68,False
2013-09-08,82,False
2013-09-15,71,False
2013-09-22,70,False
2013-09-29,73,False
2013-10-06,75,False
2013-10-13,82,False
2013-10-20,74,False
2013-10-27,73,False
2013-11-03,77,False
2013-11-10,79,False
2013-11-17,83,False
2013-11-24,61,False
2013-12-01,78,False
2013-12-08,80,False
2013-12-15,64,False
2013-12-22,45,False
2013-12-29,48,False
