date,treatment,isPartial
2013-01-06,90,False
2013-01-13,87,False
2013-01-20,92,False
2013-01-27,92,False
2013-02-03,90,False
2013-02-10,85,False
2013-02-17,92,False
2013-02-24,89,False
2013-03-03,91,False
2013-03-10,91,False
2013-03-17,93,False
2013-03-24,94,False
2013-03-31,96,False
2013-04-07,98,False
2013-04-14,95,False
2013-04-21,99,False
2013-04-28,95,False
2013-05-05,96,False
2013-05-12,97,False
2013-05-19,94,False
2013-05-26,97,False
2013-06-02,98,False
2013-06-09,95,False
2013-06-16,97,False
2013-06-23,97,False
2013-06-30,94,False
2013-07-07,100,False
2013-07-14,97,False
2013-07-21,100,False
2013-07-28,93,False
2013-08-04,93,False
2013-08-11,92,False
2013-08-18,93,False
2013-08-25,85,False
2013-09-01,89,False
2013-09-08,94,False
2013-09-15,92,False
2013-09-22,92,False
2013-09-29,89,False
2013-10-06,92,False
2013-10-13,91,False
2013-10-20,96,False
2013-10-27,93,False
2013-11-03,95,False
2013-11-10,93,False
2013-11-17,93,False
2013-11-24,79,False
2013-12-01,84,False
2013-12-08,85,False
2013-12-15,79,False
2013-12-22,71,False
2013-12-29,80,False
