date,treatment,isPartial
2014-01-05,87,False
2014-01-12,89,False
2014-01-19,89,False
2014-01-26,90,False
2014-02-02,87,False
2014-02-09,87,False
2014-02-16,89,False
2014-02-23,94,False
2014-03-02,93,False
2014-03-09,93,False
2014-03-16,94,False
2014-03-23,93,False
2014-03-30,94,False
2014-04-06,99,False
2014-04-13,94,False
2014-04-20,95,False
2014-04-27,96,False
2014-05-04,92,False
2014-05-11,96,False
2014-05-18,96,False
2014-05-25,96,False
2014-06-01,94,False
2014-06-08,93,False
2014-06-15,93,False
2014-06-22,93,False
2014-06-29,92,False
2014-07-06,95,False
2014-07-13,99,False
2014-07-20,98,False
2014-07-27,100,False
2014-08-03,96,False
2014-08-10,92,False
2014-08-17,93,False
2014-08-24,93,False
2014-08-31,92,False
2014-09-07,91,False
2014-09-14,94,False
2014-09-21,93,False
2014-09-28,96,False
2014-10-05,96,False
2014-10-12,94,False
2014-10-19,94,False
2014-10-26,92,False
2014-11-02,92,False
2014-11-09,91,False
2014-11-16,88,False
2014-11-23,78,False
2014-11-30,88,False
2014-12-07,83,False
2014-12-14,79,False
2014-12-21,72,False
2014-12-28,80,False
