date,treatment,isPartial
2011-01-02,88,False
2011-01-09,86,False
2011-01-16,88,False
2011-01-23,88,False
2011-01-30,88,False
2011-02-06,89,False
2011-02-13,96,False
2011-02-20,95,False
2011-02-27,95,False
2011-03-06,91,False
2011-03-13,92,False
2011-03-20,99,False
2011-03-27,94,False
2011-04-03,98,False
2011-04-10,97,False
2011-04-17,98,False
2011-04-24,96,False
2011-05-01,93,False
2011-05-08,97,False
2011-05-15,94,False
2011-05-22,98,False
2011-05-29,96,False
2011-06-05,100,False
2011-06-12,96,False
2011-06-19,93,False
2011-06-26,97,False
2011-07-03,98,False
2011-07-10,99,False
2011-07-17,98,False
2011-07-24,98,False
2011-07-31,99,False
2011-08-07,97,False
2011-08-14,96,False
2011-08-21,91,False
2011-08-28,94,False
2011-09-04,94,False
2011-09-11,93,False
2011-09-18,93,False
2011-09-25,91,False
2011-10-02,91,False
2011-10-09,96,False
2011-10-16,91,False
2011-10-23,87,False
2011-10-30,87,False
2011-11-06,85,False
2011-11-13,88,False
2011-11-20,75,False
2011-11-27,89,False
2011-12-04,84,False
2011-12-11,81,False
2011-12-18,73,False
2011-12-25,78,False
