date,treatment,isPartial
2015-01-04,90,False
2015-01-11,87,False
2015-01-18,92,False
2015-01-25,91,False
2015-02-01,93,False
2015-02-08,91,False
2015-02-15,92,False
2015-02-22,92,False
2015-03-01,91,False
2015-03-08,100,False
2015-03-15,92,False
2015-03-22,94,False
2015-03-29,94,False
2015-04-05,97,False
2015-04-12,96,False
2015-04-19,97,False
2015-04-26,93,False
2015-05-03,96,False
2015-05-10,93,False
2015-05-17,91,False
2015-05-24,94,False
2015-05-31,93,False
2015-06-07,94,False
2015-06-14,95,False
2015-06-21,99,False
2015-06-28,90,False
2015-07-05,99,False
2015-07-12,98,False
2015-07-19,96,False
2015-07-26,96,False
2015-08-02,93,False
2015-08-09,94,False
2015-08-16,94,False
2015-08-23,92,False
2015-08-30,93,False
2015-09-06,95,False
2015-09-13,94,False
2015-09-20,92,False
2015-09-27,93,False
2015-10-04,95,False
2015-10-11,95,False
2015-10-18,92,False
2015-10-25,94,False
2015-11-01,96,False
2015-11-08,92,False
2015-11-15,93,False
2015-11-22,77,False
2015-11-29,90,False
2015-12-06,91,False
2015-12-13,85,False
2015-12-20,76,False
2015-12-27,84,False
