date,treatment,isPartial
2016-01-03,88,False
2016-01-10,85,False
2016-01-17,88,False
2016-01-24,89,False
2016-01-31,91,False
2016-02-07,93,False
2016-02-14,93,False
2016-02-21,97,False
2016-02-28,95,False
2016-03-06,91,False
2016-03-13,92,False
2016-03-20,96,False
2016-03-27,93,False
2016-04-03,97,False
2016-04-10,100,False
2016-04-17,96,False
2016-04-24,99,False
2016-05-01,95,False
2016-05-08,98,False
2016-05-15,99,False
2016-05-22,92,False
2016-05-29,91,False
2016-06-05,92,False
2016-06-12,89,False
2016-06-19,92,False
2016-06-26,94,False
2016-07-03,93,False
2016-07-10,93,False
2016-07-17,92,False
2016-07-24,93,False
2016-07-31,91,False
2016-08-07,89,False
2016-08-14,87,False
2016-08-21,89,False
2016-08-28,86,False
2016-09-04,90,False
2016-09-11,94,False
2016-09-18,89,False
2016-09-25,92,False
2016-10-02,87,False
2016-10-09,89,False
2016-10-16,91,False
2016-10-23,91,False
2016-10-30,87,False
2016-11-06,81,False
2016-11-13,91,False
2016-11-20,78,False
2016-11-27,88,False
2016-12-04,89,False
2016-12-11,83,False
2016-12-18,78,False
2016-12-25,78,False
