date,appetite loss,isPartial
2016-01-03,82,False
2016-01-10,73,False
2016-01-17,78,False
2016-01-24,73,False
2016-01-31,55,False
2016-02-07,74,False
2016-02-14,81,False
2016-02-21,91,False
2016-02-28,77,False
2016-03-06,80,False
2016-03-13,84,False
2016-03-20,94,False
2016-03-27,84,False
2016-04-03,73,False
2016-04-10,89,False
2016-04-17,78,False
2016-04-24,80,False
2016-05-01,78,False
2016-05-08,84,False
2016-05-15,75,False
2016-05-22,76,False
2016-05-29,87,False
2016-06-05,87,False
2016-06-12,85,False
2016-06-19,97,False
2016-06-26,94,False
2016-07-03,94,False
2016-07-10,84,False
2016-07-17,79,False
2016-07-24,87,False
2016-07-31,75,False
2016-08-07,76,False
2016-08-14,66,False
2016-08-21,77,False
2016-08-28,82,False
2016-09-04,90,False
2016-09-11,76,False
2016-09-18,87,False
2016-09-25,76,False
2016-10-02,84,False
2016-10-09,66,False
2016-10-16,90,False
2016-10-23,91,False
2016-10-30,84,False
2016-11-06,67,False
2016-11-13,90,False
2016-11-20,96,False
2016-11-27,88,False
2016-12-04,68,False
2016-12-11,69,False
2016-12-18,93,False
2016-12-25,100,False
