date,appetite loss,isPartial
2012-01-01,92,False
2012-01-08,85,False
2012-01-15,68,False
2012-01-22,76,False
2012-01-29,78,False
2012-02-05,73,False
2012-02-12,72,False
2012-02-19,79,False
2012-02-26,80,False
2012-03-04,75,False
2012-03-11,86,False
2012-03-18,78,False
2012-03-25,81,False
2012-04-01,93,False
2012-04-08,70,False
2012-04-15,66,False
2012-04-22,82,False
2012-04-29,82,False
2012-05-06,79,False
2012-05-13,76,False
2012-05-20,82,False
2012-05-27,77,False
2012-06-03,77,False
2012-06-10,89,False
2012-06-17,100,False
2012-06-24,82,False
2012-07-01,75,False
2012-07-08,87,False
2012-07-15,100,False
2012-07-22,91,False
2012-07-29,87,False
2012-08-05,85,False
2012-08-12,86,False
2012-08-19,90,False
2012-08-26,81,False
2012-09-02,95,False
2012-09-09,83,False
2012-09-16,78,False
2012-09-23,89,False
2012-09-30,86,False
2012-10-07,91,False
2012-10-14,85,False
2012-10-21,90,False
2012-10-28,71,False
2012-11-04,57,False
2012-11-11,92,False
2012-11-18,80,False
2012-11-25,78,False
2012-12-02,85,False
2012-12-09,72,False
2012-12-16,68,False
2012-12-23,86,False
2012-12-30,88,False
