date,progress,isPartial
2011-01-02,84,False
2011-01-09,98,False
2011-01-16,78,False
2011-01-23,87,False
2011-01-30,82,False
2011-02-06,82,False
2011-02-13,85,False
2011-02-20,77,False
2011-02-27,84,False
2011-03-06,86,False
2011-03-13,81,False
2011-03-20,81,False
2011-03-27,80,False
2011-04-03,80,False
2011-04-10,79,False
2011-04-17,82,False
2011-04-24,81,False
2011-05-01,87,False
2011-05-08,86,False
2011-05-15,77,False
2011-05-22,86,False
2011-05-29,83,False
2011-06-05,83,False
2011-06-12,73,False
2011-06-19,70,False
2011-06-26,75,False
2011-07-03,72,False
2011-07-10,70,False
2011-07-17,73,False
2011-07-24,72,False
2011-07-31,74,False
2011-08-07,70,False
2011-08-14,77,False
2011-08-21,89,False
2011-08-28,100,False
2011-09-04,88,False
2011-09-11,95,False
2011-09-18,89,False
2011-09-25,90,False
2011-10-02,90,False
2011-10-09,88,False
2011-10-16,85,False
2011-10-23,89,False
2011-10-30,89,False
2011-11-06,84,False
2011-11-13,88,False
2011-11-20,62,False
2011-11-27,84,False
2011-12-04,87,False
2011-12-11,88,False
2011-12-18,67,False
2011-12-25,58,False
