date,progress,isPartial
2012-01-01,75,False
2012-01-08,89,False
2012-01-15,81,False
2012-01-22,82,False
2012-01-29,91,False
2012-02-05,86,False
2012-02-12,81,False
2012-02-19,82,False
2012-02-26,87,False
2012-03-04,87,False
2012-03-11,84,False
2012-03-18,90,False
2012-03-25,74,False
2012-04-01,76,False
2012-04-08,76,False
2012-04-15,81,False
2012-04-22,90,False
2012-04-29,95,False
2012-05-06,98,False
2012-05-13,95,False
2012-05-20,87,False
2012-05-27,83,False
2012-06-03,83,False
2012-06-10,71,False
2012-06-17,76,False
2012-06-24,74,False
2012-07-01,67,False
2012-07-08,68,False
2012-07-15,71,False
2012-07-22,71,False
2012-07-29,67,False
2012-08-05,68,False
2012-08-12,73,False
2012-08-19,79,False
2012-08-26,89,False
2012-09-02,84,False
2012-09-09,94,False
2012-09-16,93,False
2012-09-23,92,False
2012-09-30,99,False
2012-10-07,90,False
2012-10-14,89,False
2012-10-21,100,False
2012-10-28,93,False
2012-11-04,91,False
2012-11-11,92,False
2012-11-18,67,False
2012-11-25,89,False
2012-12-02,89,False
2012-12-09,88,False
2012-12-16,81,False
2012-12-23,56,False
2012-12-30,69,False
