date,cruel,isPartial
2014-01-05,74,False
2014-01-12,84,False
2014-01-19,84,False
2014-01-26,83,False
2014-02-02,70,False
2014-02-09,79,False
2014-02-16,84,False
2014-02-23,73,False
2014-03-02,82,False
2014-03-09,74,False
2014-03-16,84,False
2014-03-23,79,False
2014-03-30,78,False
2014-04-06,80,False
2014-04-13,91,False
2014-04-20,82,False
2014-04-27,86,False
2014-05-04,85,False
2014-05-11,87,False
2014-05-18,88,False
2014-05-25,71,False
2014-06-01,76,False
2014-06-08,77,False
2014-06-15,95,False
2014-06-22,99,False
2014-06-29,77,False
2014-07-06,86,False
2014-07-13,81,False
2014-07-20,87,False
2014-07-27,78,False
2014-08-03,95,False
2014-08-10,78,False
2014-08-17,84,False
2014-08-24,70,False
2014-08-31,75,False
2014-09-07,82,False
2014-09-14,83,False
2014-09-21,75,False
2014-09-28,84,False
2014-10-05,92,False
2014-10-12,84,False
2014-10-19,82,False
2014-10-26,100,False
2014-11-02,77,False
2014-11-09,85,False
2014-11-16,88,False
2014-11-23,89,False
2014-11-30,97,False
2014-12-07,89,False
2014-12-14,86,False
2014-12-21,84,False
2014-12-28,84,False
