date,cruel,isPartial
2011-01-02,86,False
2011-01-09,87,False
2011-01-16,75,False
2011-01-23,79,False
2011-01-30,82,False
2011-02-06,71,False
2011-02-13,70,False
2011-02-20,76,False
2011-02-27,72,False
2011-03-06,69,False
2011-03-13,73,False
2011-03-20,77,False
2011-03-27,78,False
2011-04-03,70,False
2011-04-10,85,False
2011-04-17,74,False
2011-04-24,100,False
2011-05-01,83,False
2011-05-08,62,False
2011-05-15,79,False
2011-05-22,68,False
2011-05-29,71,False
2011-06-05,64,False
2011-06-12,71,False
2011-06-19,68,False
2011-06-26,64,False
2011-07-03,77,False
2011-07-10,88,False
2011-07-17,70,False
2011-07-24,59,False
2011-07-31,69,False
2011-08-07,61,False
2011-08-14,74,False
2011-08-21,66,False
2011-08-28,68,False
2011-09-04,77,False
2011-09-11,86,False
2011-09-18,79,False
2011-09-25,91,False
2011-10-02,99,False
2011-10-09,82,False
2011-10-16,81,False
2011-10-23,81,False
2011-10-30,86,False
2011-11-06,83,False
2011-11-13,97,False
2011-11-20,75,False
2011-11-27,87,False
2011-12-04,76,False
2011-12-11,86,False
2011-12-18,67,False
2011-12-25,65,False
