date,uncomfortable,isPartial
2012-01-01,78,False
2012-01-08,62,False
2012-01-15,77,False
2012-01-22,80,False
2012-01-29,83,False
2012-02-05,72,False
2012-02-12,63,False
2012-02-19,73,False
2012-02-26,76,False
2012-03-04,78,False
2012-03-11,76,False
2012-03-18,74,False
2012-03-25,65,False
2012-04-01,84,False
2012-04-08,80,False
2012-04-15,85,False
2012-04-22,88,False
2012-04-29,72,False
2012-05-06,76,False
2012-05-13,86,False
2012-05-20,93,False
2012-05-27,93,False
2012-06-03,79,False
2012-06-10,82,False
2012-06-17,79,False
2012-06-24,80,False
2012-07-01,85,False
2012-07-08,80,False
2012-07-15,84,False
2012-07-22,86,False
2012-07-29,73,False
2012-08-05,94,False
2012-08-12,86,False
2012-08-19,92,False
2012-08-26,80,False
2012-09-02,83,False
2012-09-09,90,False
2012-09-16,84,False
2012-09-23,77,False
2012-09-30,83,False
2012-10-07,83,False
2012-10-14,74,False
2012-10-21,90,False
2012-10-28,73,False
2012-11-04,71,False
2012-11-11,95,False
2012-11-18,89,False
2012-11-25,87,False
2012-12-02,100,False
2012-12-09,76,False
2012-12-16,80,False
2012-12-23,75,False
2012-12-30,87,False
