date,suffer,isPartial
2014-01-05,58,False
2014-01-12,71,False
2014-01-19,79,False
2014-01-26,65,False
2014-02-02,65,False
2014-02-09,71,False
2014-02-16,77,False
2014-02-23,74,False
2014-03-02,78,False
2014-03-09,69,False
2014-03-16,74,False
2014-03-23,80,False
2014-03-30,85,False
2014-04-06,78,False
2014-04-13,85,False
2014-04-20,88,False
2014-04-27,87,False
2014-05-04,85,False
2014-05-11,78,False
2014-05-18,78,False
2014-05-25,76,False
2014-06-01,71,False
2014-06-08,53,False
2014-06-15,60,False
2014-06-22,68,False
2014-06-29,67,False
2014-07-06,70,False
2014-07-13,66,False
2014-07-20,70,False
2014-07-27,68,False
2014-08-03,65,False
2014-08-10,70,False
2014-08-17,77,False
2014-08-24,69,False
2014-08-31,73,False
2014-09-07,81,False
2014-09-14,72,False
2014-09-21,78,False
2014-09-28,77,False
2014-10-05,73,False
2014-10-12,73,False
2014-10-19,90,False
2014-10-26,88,False
2014-11-02,84,False
2014-11-09,90,False
2014-11-16,96,False
2014-11-23,79,False
2014-11-30,85,False
2014-12-07,100,False
2014-12-14,77,False
2014-12-21,58,False
2014-12-28,58,False
