date,suffer,isPartial
2011-01-02,54,False
2011-01-09,79,False
2011-01-16,67,False
2011-01-23,64,False
2011-01-30,72,False
2011-02-06,77,False
2011-02-13,84,False
2011-02-20,80,False
2011-02-27,75,False
2011-03-06,75,False
2011-03-13,83,False
2011-03-20,77,False
2011-03-27,86,False
2011-04-03,93,False
2011-04-10,92,False
2011-04-17,81,False
2011-04-24,96,False
2011-05-01,90,False
2011-05-08,87,False
2011-05-15,79,False
2011-05-22,83,False
2011-05-29,69,False
2011-06-05,67,False
2011-06-12,64,False
2011-06-19,55,False
2011-06-26,62,False
2011-07-03,65,False
2011-07-10,60,False
2011-07-17,60,False
2011-07-24,63,False
2011-07-31,69,False
2011-08-07,69,False
2011-08-14,63,False
2011-08-21,72,False
2011-08-28,84,False
2011-09-04,73,False
2011-09-11,77,False
2011-09-18,72,False
2011-09-25,77,False
2011-10-02,85,False
2011-10-09,74,False
2011-10-16,80,False
2011-10-23,87,False
2011-10-30,91,False
2011-11-06,88,False
2011-11-13,98,False
2011-11-20,69,False
2011-11-27,100,False
2011-12-04,87,False
2011-12-11,86,False
2011-12-18,54,False
2011-12-25,45,False
