date,suffer,isPartial
2013-01-06,66,False
2013-01-13,70,False
2013-01-20,72,False
2013-01-27,72,False
2013-02-03,84,False
2013-02-10,71,False
2013-02-17,67,False
2013-02-24,82,False
2013-03-03,88,False
2013-03-10,81,False
2013-03-17,81,False
2013-03-24,76,False
2013-03-31,70,False
2013-04-07,96,False
2013-04-14,90,False
2013-04-21,89,False
2013-04-28,91,False
2013-05-05,77,False
2013-05-12,73,False
2013-05-19,70,False
2013-05-26,69,False
2013-06-02,65,False
2013-06-09,71,False
2013-06-16,80,False
2013-06-23,55,False
2013-06-30,52,False
2013-07-07,61,False
2013-07-14,70,False
2013-07-21,72,False
2013-07-28,74,False
2013-08-04,63,False
2013-08-11,58,False
2013-08-18,60,False
2013-08-25,64,False
2013-09-01,68,False
2013-09-08,82,False
2013-09-15,83,False
2013-09-22,81,False
2013-09-29,74,False
2013-10-06,79,False
2013-10-13,91,False
2013-10-20,89,False
2013-10-27,84,False
2013-11-03,91,False
2013-11-10,93,False
2013-11-17,94,False
2013-11-24,68,False
2013-12-01,94,False
2013-12-08,100,False
2013-12-15,73,False
2013-12-22,57,False
2013-12-29,55,False
