date,suffer,isPartial
2015-01-04,59,False
2015-01-11,63,False
2015-01-18,73,False
2015-01-25,79,False
2015-02-01,76,False
2015-02-08,83,False
2015-02-15,73,False
2015-02-22,81,False
2015-03-01,84,False
2015-03-08,68,False
2015-03-15,78,False
2015-03-22,67,False
2015-03-29,79,False
2015-04-05,71,False
2015-04-12,85,False
2015-04-19,83,False
2015-04-26,83,False
2015-05-03,80,False
2015-05-10,72,False
2015-05-17,85,False
2015-05-24,77,False
2015-05-31,65,False
2015-06-07,68,False
2015-06-14,63,False
2015-06-21,59,False
2015-06-28,50,False
2015-07-05,63,False
2015-07-12,52,False
2015-07-19,51,False
2015-07-26,66,False
2015-08-02,62,False
2015-08-09,53,False
2015-08-16,58,False
2015-08-23,56,False
2015-08-30,68,False
2015-09-06,69,False
2015-09-13,73,False
2015-09-20,86,False
2015-09-27,85,False
2015-10-04,90,False
2015-10-11,83,False
2015-10-18,86,False
2015-10-25,100,False
2015-11-01,93,False
2015-11-08,82,False
2015-11-15,82,False
2015-11-22,68,False
2015-11-29,83,False
2015-12-06,89,False
2015-12-13,77,False
2015-12-20,47,False
2015-12-27,48,False
