date,suffer,isPartial
2016-01-03,70,False
2016-01-10,75,False
2016-01-17,69,False
2016-01-24,81,False
2016-01-31,82,False
2016-02-07,100,False
2016-02-14,82,False
2016-02-21,95,False
2016-02-28,94,False
2016-03-06,83,False
2016-03-13,83,False
2016-03-20,81,False
2016-03-27,80,False
2016-04-03,85,False
2016-04-10,87,False
2016-04-17,96,False
2016-04-24,100,False
2016-05-01,86,False
2016-05-08,78,False
2016-05-15,75,False
2016-05-22,64,False
2016-05-29,65,False
2016-06-05,62,False
2016-06-12,64,False
2016-06-19,64,False
2016-06-26,70,False
2016-07-03,63,False
2016-07-10,60,False
2016-07-17,68,False
2016-07-24,61,False
2016-07-31,58,False
2016-08-07,51,False
2016-08-14,56,False
2016-08-21,63,False
2016-08-28,63,False
2016-09-04,69,False
2016-09-11,75,False
2016-09-18,69,False
2016-09-25,79,False
2016-10-02,75,False
2016-10-09,86,False
2016-10-16,86,False
2016-10-23,76,False
2016-10-30,83,False
2016-11-06,80,False
2016-11-13,94,False
2016-11-20,69,False
2016-11-27,96,False
2016-12-04,100,False
2016-12-11,88,False
2016-12-18,63,False
2016-12-25,53,False
