date,distressed,isPartial
2012-01-01,82,False
2012-01-08,78,False
2012-01-15,88,False
2012-01-22,89,False
2012-01-29,86,False
2012-02-05,86,False
2012-02-12,91,False
2012-02-19,87,False
2012-02-26,87,False
2012-03-04,97,False
2012-03-11,86,False
2012-03-18,79,False
2012-03-25,83,False
2012-04-01,75,False
2012-04-08,80,False
2012-04-15,81,False
2012-04-22,79,False
2012-04-29,84,False
2012-05-06,72,False
2012-05-13,80,False
2012-05-20,90,False
2012-05-27,79,False
2012-06-03,100,False
2012-06-10,78,False
2012-06-17,87,False
2012-06-24,85,False
2012-07-01,95,False
2012-07-08,93,False
2012-07-15,89,False
2012-07-22,95,False
2012-07-29,90,False
2012-08-05,100,False
2012-08-12,96,False
2012-08-19,94,False
2012-08-26,97,False
2012-09-02,93,False
2012-09-09,95,False
2012-09-16,94,False
2012-09-23,93,False
2012-09-30,92,False
2012-10-07,81,False
2012-10-14,81,False
2012-10-21,81,False
2012-10-28,78,False
2012-11-04,82,False
2012-11-11,93,False
2012-11-18,86,False
2012-11-25,85,False
2012-12-02,95,False
2012-12-09,83,False
2012-12-16,78,False
2012-12-23,80,False
2012-12-30,75,False
