date,distressed,isPartial
2011-01-02,86,False
2011-01-09,100,False
2011-01-16,89,False
2011-01-23,80,False
2011-01-30,83,False
2011-02-06,73,False
2011-02-13,91,False
2011-02-20,71,False
2011-02-27,84,False
2011-03-06,76,False
2011-03-13,79,False
2011-03-20,74,False
2011-03-27,79,False
2011-04-03,66,False
2011-04-10,93,False
2011-04-17,75,False
2011-04-24,67,False
2011-05-01,71,False
2011-05-08,72,False
2011-05-15,80,False
2011-05-22,75,False
2011-05-29,64,False
2011-06-05,79,False
2011-06-12,80,False
2011-06-19,67,False
2011-06-26,71,False
2011-07-03,83,False
2011-07-10,89,False
2011-07-17,75,False
2011-07-24,74,False
2011-07-31,69,False
2011-08-07,83,False
2011-08-14,84,False
2011-08-21,80,False
2011-08-28,76,False
2011-09-04,88,False
2011-09-11,85,False
2011-09-18,85,False
2011-09-25,84,False
2011-10-02,89,False
2011-10-09,83,False
2011-10-16,82,False
2011-10-23,95,False
2011-10-30,81,False
2011-11-06,81,False
2011-11-13,80,False
2011-11-20,92,False
2011-11-27,87,False
2011-12-04,100,False
2011-12-11,96,False
2011-12-18,69,False
2011-12-25,82,False
