State ID,Year,sorrow,afraid,anxiety,endure,stress,tragedy,brain,lonely,watch,medication,parents,poverty (real),listening,irritable,abuse,improvement,alienation,studies,needy,level,courage,clarity,upset,world health organization,degree,label,healthy,poor,friends,patience,gain,understanding,suicide,heal,esteem,hurt,home,anger,low,condition,strength,substances,media,education (real),pizza,victim,observation,antisocial,withdrawn,treatment,wailing,abandoned,weak,warning,doctor,education,talk,effect,mental health,burger,insecure,affect,drugs,skills,programs,pessimistic,personal,fast food,quality,immune,data,fight,inadequate,fatigue,mental,foreign born  (real),cooperative,scared,isolated,evaluation,disease,grieving,tack,family,prevention,shopping,oppressed,trajectory,ability,triumph,concern,alone,shattered,troubled,thoughts,substance abuse,separation,time,withdrawal,melancholy,bikini,overwhelmed,zero,descent,normal,communication,hereditary,unusual,confusion,eat,bipolar,diet,child,failure, endless,fear,inability,suffer,fat,irrational, confused,defensive,happy,health (real),rejected,homesick,antidepressant,median age (real),agitated,peers,broken,pills,grief,trapped,amenorrhea,crying,medicine,cycle,frustration,death,empty,treat, Crushing,morbid,option,wretched,sleep,clinical,stigma,organize,cure,reality,agony,isolation,teenagers,die,consumed,involvement,interfere,defeated,Forever,excluded,wounded,hopeless,blue,torment,nervous,knowledge,symptoms,youth,suffering,discrimination,unique,overcome,income (real),patient,distressed,solitary,sad,brittle,attitude,requirement,attempt,down,help,guideline,heavy,resulting,disorder,sport,paranoid,achy,suicidal,caregiver,breakdown,problem,opinion,struggle,interested,tired,need,goals,necessary,psychiatrist,children,cruel,report, hopeless,source,panic,attention,counsel,protect,statistics,fragile,dreadful,siblings,talking,feelings,abnormal,kill,nothing, sleep,pain,uncomfortable,review,validation,awareness,quantity,diagnosis,sadness,signs,thesis,moody,worry,prescription,reckless,study,miserable,weight loss,freaking,donut,health,monitor,alarm,sugar,depressed,exercise,adolescents,security,sympathetic,therapy,tragic,injured,love,doomed,desperate,travel,cope,vulnerable,insomnia,exhausted,despair,quest,progressive,crushed,aid,partum,anxious,pattern, numb,crisis,depression,physician,unhappy
0,2011,71.0,73.0,74.0,21.0,82.0,75.0,87.0,71.0,76.0,86.0,94.0,19.0,82.0,75.0,64.0,31.0,53.0,70.0,88.0,76.0,59.0,76.0,90.0,20.0,91.0,78.0,62.0,68.0,75.0,81.0,80.0,85.0,70.0,41.0,70.0,78.0,85.0,85.0,89.0,80.0,85.0,45.0,75.0,81.9,48.0,79.0,60.0,70.0,51.0,82.0,66.0,78.0,79.0,34.0,89.0,77.0,83.0,85.0,71.0,68.0,70.0,87.0,59.0,80.0,81.0,82.0,85.0,77.0,75.0,62.0,78.0,71.0,55.0,92.0,88.0,3.4,35.0,85.0,70.0,71.0,85.0,31.0,47.0,89.0,68.0,33.0,71.0,49.0,88.0,59.0,53.0,84.0,77.0,63.0,74.0,53.0,67.0,78.0,78.0,73.0,76.0,68.0,84.0,70.0,60.0,70.0,55.0,55.0,60.0,83.0,87.0,91.0,94.0,89.0,78.0,44.0,54.0,76.0,85.0,61.0,63.0,44.0,61.0,14.3,68.0,49.0,79.0,37.7,36.0,65.0,11.0,79.0,52.0,84.0,65.0,88.0,84.0,85.0,82.0,89.0,70.0,72.0,46.0,55.0,73.0,77.0,93.0,56.0,45.0,82.0,73.0,93.0,71.0,80.0,90.0,83.0,85.0,66.0,59.0,59.0,69.0,64.0,40.0,53.0,81.0,29.0,85.0,79.0,92.0,72.0,92.0,90.0,72.0,85.0,41415,72.0,74.0,72.0,31.0,52.0,83.0,63.0,91.0,89.0,90.0,46.0,91.0,73.0,71.0,76.0,40.0,64.0,56.0,39.0,90.0,89.0,13.0,30.0,79.0,86.0,90.0,89.0,88.0,88.0,89.0,37.0,51.0,68.0,67.0,100.0,82.0,18.0,73.0,66.0,71.0,53.0,66.0,56.0,68.0,86.0,83.0,95.0,85.0,92.0,70.0,65.0,56.0,86.0,72.0,80.0,57.0,87.0,91.0,100.0,78.0,85.0,62.0,70.0,81.0,96.0,56.0,53.0,63.0,32.0,79.0,75.0,88.0,90.0,59.0,83.0,71.0,74.0,99.0,89.0,81.0,56.0,71.0,59.0,73.0,55.0,78.0,63.0,71.0,75.0,56.0,75.0,57.0,49.0,100.0,65.0,74.0,69.0,79.0,75.0,73.0
1,2011,55.0,57.0,70.0,43.0,71.0,43.0,80.0,100.0,55.0,65.0,78.0,10.5,68.0,68.0,77.0,29.0,41.0,63.0,74.0,79.0,48.0,53.0,62.0,20.0,75.0,67.0,68.0,63.0,82.0,74.0,72.0,74.0,83.0,38.0,60.0,61.0,66.0,68.0,78.0,71.0,71.0,25.0,61.0,91.4,57.0,48.0,69.0,79.0,60.0,82.0,72.0,59.0,78.0,69.0,75.0,54.0,43.0,83.0,88.0,48.0,53.0,71.0,39.0,79.0,70.0,80.0,75.0,52.0,92.0,46.0,89.0,68.0,81.0,90.0,92.0,6.9,50.0,73.0,48.0,69.0,74.0,61.0,39.0,68.0,100.0,32.0,65.0,54.0,60.0,66.0,33.0,76.0,77.0,38.0,77.0,70.0,82.0,75.0,70.0,70.0,66.0,55.0,93.0,65.0,41.0,77.0,61.0,60.0,46.0,76.0,97.0,92.0,86.0,66.0,80.0,37.0,72.0,42.0,87.0,55.0,37.0,23.0,60.0,20.1,55.0,100.0,74.0,33.8,83.0,65.0,11.0,65.0,74.0,59.0,75.0,84.0,62.0,91.0,78.0,79.0,73.0,71.0,100.0,79.0,64.0,60.0,90.0,37.0,49.0,49.0,78.0,68.0,100.0,69.0,63.0,76.0,64.0,36.0,70.0,45.0,62.0,84.0,31.0,69.0,77.0,32.0,70.0,72.0,73.0,80.0,80.0,74.0,64.0,48.0,67825,54.0,38.0,33.0,40.0,100.0,78.0,68.0,67.0,82.0,88.0,78.0,100.0,36.0,83.0,90.0,43.0,49.0,65.0,31.0,75.0,78.0,9.0,19.0,77.0,96.0,76.0,74.0,64.0,44.0,69.0,49.0,66.0,50.0,64.0,54.0,74.0,14.0,79.0,72.0,75.0,66.0,51.0,52.0,58.0,63.0,72.0,73.0,83.0,80.0,74.0,71.0,35.0,89.0,68.0,47.0,63.0,71.0,67.0,23.0,77.0,67.0,59.0,47.0,57.0,71.0,36.0,57.0,70.0,38.0,88.0,71.0,96.0,79.0,65.0,72.0,40.0,81.0,46.0,70.0,68.0,69.0,75.0,91.0,60.0,66.0,83.0,68.0,83.0,75.0,73.0,62.0,42.0,97.0,77.0,96.0,81.0,75.0,70.0,68.0,85.0
2,2011,57.0,68.0,75.0,48.0,76.0,67.0,81.0,70.0,72.0,70.0,71.0,19.0,67.0,67.0,58.0,29.0,27.0,63.0,52.0,73.0,53.0,62.0,81.0,62.0,70.0,68.0,75.0,59.0,74.0,82.0,69.0,75.0,79.0,42.0,69.0,66.0,71.0,83.0,100.0,83.0,66.0,40.0,71.0,85.2,81.0,79.0,77.0,62.0,46.0,77.0,64.0,70.0,72.0,28.0,91.0,52.0,51.0,80.0,37.0,97.0,66.0,79.0,50.0,74.0,71.0,83.0,82.0,100.0,73.0,71.0,83.0,79.0,52.0,85.0,57.0,13.9,17.0,81.0,52.0,52.0,72.0,48.0,47.0,74.0,65.0,35.0,49.0,35.0,70.0,57.0,44.0,80.0,74.0,45.0,69.0,54.0,66.0,89.0,86.0,73.0,68.0,73.0,78.0,79.0,55.0,71.0,44.0,41.0,55.0,84.0,79.0,84.0,76.0,84.0,61.0,52.0,59.0,75.0,85.0,81.0,56.0,42.0,90.0,17.2,78.0,51.0,69.0,35.7,52.0,44.0,11.0,72.0,57.0,66.0,67.0,84.0,67.0,77.0,67.0,81.0,78.0,63.0,59.0,68.0,72.0,40.0,87.0,52.0,39.0,69.0,81.0,81.0,66.0,57.0,62.0,79.0,72.0,63.0,49.0,48.0,74.0,62.0,33.0,72.0,67.0,35.0,77.0,59.0,75.0,59.0,80.0,73.0,63.0,61.0,46709,58.0,42.0,57.0,31.0,50.0,77.0,61.0,82.0,82.0,77.0,59.0,81.0,59.0,62.0,78.0,44.0,72.0,78.0,92.0,77.0,79.0,13.0,20.0,81.0,81.0,80.0,80.0,77.0,69.0,66.0,38.0,43.0,74.0,66.0,59.0,82.0,18.0,79.0,61.0,62.0,56.0,51.0,100.0,59.0,66.0,74.0,81.0,82.0,82.0,80.0,67.0,55.0,57.0,58.0,65.0,66.0,73.0,71.0,21.0,60.0,75.0,69.0,54.0,75.0,74.0,62.0,57.0,71.0,32.0,89.0,66.0,84.0,78.0,52.0,83.0,55.0,83.0,57.0,75.0,74.0,63.0,80.0,63.0,73.0,68.0,74.0,48.0,70.0,93.0,67.0,61.0,39.0,46.0,71.0,55.0,77.0,81.0,73.0,76.0,63.0
3,2011,77.0,69.0,74.0,70.0,75.0,68.0,87.0,71.0,75.0,80.0,84.0,19.5,84.0,79.0,75.0,41.0,48.0,71.0,79.0,87.0,55.0,84.0,94.0,67.0,91.0,75.0,71.0,63.0,87.0,100.0,80.0,82.0,74.0,43.0,73.0,85.0,99.0,86.0,88.0,85.0,72.0,50.0,72.0,82.7,67.0,83.0,91.0,86.0,69.0,88.0,68.0,70.0,78.0,32.0,90.0,77.0,82.0,87.0,50.0,61.0,64.0,81.0,58.0,96.0,85.0,92.0,94.0,67.0,73.0,60.0,97.0,70.0,52.0,84.0,68.0,4.4,77.0,85.0,70.0,71.0,80.0,47.0,50.0,82.0,72.0,37.0,63.0,32.0,77.0,72.0,43.0,92.0,81.0,51.0,68.0,50.0,59.0,75.0,78.0,63.0,70.0,87.0,85.0,82.0,58.0,92.0,59.0,59.0,63.0,89.0,93.0,100.0,91.0,92.0,76.0,41.0,37.0,77.0,87.0,79.0,63.0,45.0,62.0,17.1,74.0,58.0,89.0,37.3,68.0,66.0,13.0,77.0,64.0,72.0,45.0,83.0,65.0,79.0,48.0,89.0,75.0,76.0,40.0,60.0,68.0,75.0,85.0,46.0,44.0,95.0,100.0,92.0,77.0,93.0,85.0,89.0,84.0,77.0,96.0,59.0,69.0,63.0,37.0,69.0,74.0,29.0,82.0,75.0,88.0,74.0,74.0,98.0,74.0,88.0,38758,58.0,56.0,58.0,34.0,62.0,69.0,54.0,100.0,91.0,93.0,44.0,88.0,89.0,78.0,77.0,48.0,82.0,63.0,12.0,99.0,84.0,15.0,23.0,84.0,87.0,93.0,85.0,91.0,76.0,89.0,52.0,51.0,77.0,67.0,66.0,85.0,17.0,84.0,69.0,55.0,65.0,54.0,54.0,63.0,70.0,79.0,82.0,80.0,88.0,63.0,65.0,45.0,81.0,70.0,81.0,73.0,87.0,81.0,33.0,66.0,100.0,69.0,61.0,77.0,90.0,73.0,55.0,73.0,32.0,90.0,91.0,89.0,91.0,49.0,99.0,68.0,86.0,79.0,84.0,82.0,42.0,71.0,63.0,74.0,67.0,73.0,59.0,55.0,76.0,47.0,71.0,45.0,55.0,69.0,74.0,84.0,76.0,83.0,65.0,62.0
4,2011,57.0,66.0,68.0,47.0,68.0,62.0,76.0,76.0,75.0,61.0,72.0,16.6,65.0,55.0,50.0,28.0,38.0,62.0,58.0,67.0,50.0,73.0,82.0,42.0,60.0,81.0,78.0,57.0,82.0,73.0,66.0,64.0,74.0,46.0,75.0,67.0,56.0,86.0,77.0,77.0,59.0,36.0,82.0,80.8,73.0,73.0,56.0,52.0,52.0,70.0,57.0,57.0,76.0,35.0,85.0,39.0,51.0,79.0,42.0,97.0,77.0,71.0,47.0,64.0,69.0,82.0,79.0,96.0,70.0,65.0,80.0,84.0,48.0,69.0,57.0,27.2,13.0,81.0,50.0,47.0,59.0,31.0,33.0,65.0,57.0,40.0,68.0,30.0,71.0,68.0,49.0,82.0,76.0,41.0,63.0,31.0,62.0,89.0,67.0,87.0,68.0,85.0,77.0,72.0,51.0,58.0,39.0,37.0,59.0,85.0,73.0,69.0,67.0,72.0,83.0,43.0,40.0,73.0,82.0,60.0,54.0,20.0,82.0,18.1,89.0,45.0,55.0,35.1,52.0,71.0,10.0,70.0,55.0,61.0,46.0,83.0,55.0,69.0,67.0,80.0,81.0,61.0,47.0,60.0,84.0,49.0,92.0,52.0,43.0,70.0,88.0,86.0,68.0,72.0,54.0,77.0,61.0,50.0,44.0,39.0,100.0,63.0,28.0,77.0,72.0,29.0,72.0,52.0,64.0,53.0,74.0,68.0,56.0,66.0,57287,46.0,44.0,65.0,33.0,44.0,65.0,85.0,68.0,83.0,72.0,64.0,79.0,38.0,57.0,95.0,43.0,58.0,75.0,57.0,80.0,82.0,15.0,19.0,92.0,80.0,83.0,68.0,77.0,73.0,61.0,45.0,46.0,82.0,67.0,62.0,84.0,25.0,72.0,57.0,66.0,54.0,54.0,53.0,71.0,51.0,71.0,86.0,84.0,71.0,69.0,75.0,61.0,49.0,62.0,50.0,66.0,64.0,69.0,19.0,57.0,58.0,69.0,45.0,77.0,56.0,59.0,71.0,50.0,32.0,88.0,63.0,79.0,72.0,50.0,63.0,48.0,70.0,60.0,77.0,80.0,63.0,81.0,70.0,59.0,75.0,83.0,69.0,67.0,70.0,40.0,54.0,68.0,50.0,81.0,44.0,70.0,71.0,66.0,51.0,67.0
5,2011,63.0,58.0,71.0,49.0,70.0,55.0,74.0,77.0,63.0,62.0,69.0,13.5,66.0,66.0,58.0,29.0,42.0,60.0,71.0,75.0,53.0,83.0,82.0,46.0,66.0,77.0,71.0,65.0,78.0,64.0,67.0,69.0,78.0,39.0,55.0,65.0,68.0,81.0,77.0,73.0,69.0,40.0,74.0,89.7,82.0,72.0,62.0,60.0,44.0,73.0,68.0,59.0,69.0,30.0,83.0,49.0,50.0,78.0,75.0,81.0,56.0,73.0,44.0,62.0,70.0,67.0,77.0,81.0,77.0,71.0,90.0,66.0,41.0,80.0,78.0,9.7,21.0,75.0,52.0,53.0,65.0,42.0,48.0,79.0,62.0,34.0,58.0,40.0,66.0,67.0,38.0,77.0,73.0,46.0,67.0,34.0,67.0,81.0,79.0,69.0,68.0,70.0,81.0,85.0,47.0,63.0,42.0,43.0,60.0,79.0,75.0,77.0,72.0,84.0,66.0,41.0,43.0,70.0,85.0,58.0,53.0,27.0,73.0,15.1,78.0,47.0,59.0,35.9,52.0,66.0,11.0,63.0,72.0,65.0,57.0,70.0,78.0,87.0,59.0,79.0,77.0,57.0,50.0,60.0,74.0,49.0,88.0,47.0,36.0,69.0,90.0,73.0,64.0,61.0,57.0,74.0,58.0,51.0,48.0,36.0,57.0,54.0,38.0,67.0,68.0,33.0,71.0,66.0,73.0,69.0,70.0,65.0,67.0,72.0,55387,45.0,44.0,71.0,30.0,51.0,73.0,58.0,74.0,85.0,79.0,45.0,74.0,50.0,63.0,98.0,36.0,68.0,66.0,50.0,72.0,77.0,11.0,18.0,69.0,73.0,75.0,69.0,68.0,63.0,62.0,49.0,51.0,63.0,70.0,78.0,74.0,21.0,71.0,64.0,64.0,63.0,60.0,52.0,55.0,51.0,73.0,70.0,77.0,75.0,46.0,71.0,68.0,65.0,54.0,55.0,64.0,71.0,68.0,26.0,62.0,66.0,62.0,45.0,65.0,65.0,57.0,55.0,67.0,35.0,81.0,68.0,63.0,78.0,34.0,72.0,48.0,87.0,66.0,78.0,68.0,63.0,76.0,70.0,61.0,52.0,78.0,61.0,61.0,78.0,63.0,54.0,44.0,54.0,77.0,58.0,63.0,70.0,72.0,57.0,60.0
6,2011,59.0,76.0,90.0,44.0,83.0,70.0,82.0,76.0,87.0,70.0,87.0,10.9,76.0,76.0,59.0,44.0,51.0,75.0,47.0,73.0,52.0,82.0,89.0,57.0,72.0,87.0,67.0,65.0,81.0,66.0,76.0,72.0,80.0,43.0,65.0,66.0,74.0,79.0,80.0,79.0,76.0,39.0,83.0,88.6,73.0,72.0,77.0,81.0,76.0,85.0,71.0,75.0,75.0,29.0,90.0,67.0,51.0,85.0,54.0,72.0,73.0,83.0,54.0,73.0,89.0,73.0,84.0,46.0,68.0,70.0,87.0,66.0,55.0,81.0,69.0,13.3,24.0,83.0,69.0,57.0,85.0,43.0,45.0,78.0,66.0,37.0,58.0,30.0,81.0,60.0,54.0,91.0,78.0,47.0,66.0,70.0,72.0,82.0,87.0,71.0,69.0,65.0,89.0,77.0,54.0,63.0,46.0,41.0,75.0,77.0,81.0,70.0,71.0,89.0,87.0,43.0,45.0,72.0,82.0,61.0,61.0,25.0,67.0,8.8,85.0,62.0,74.0,39.8,41.0,63.0,11.0,61.0,60.0,69.0,67.0,90.0,71.0,79.0,88.0,83.0,80.0,66.0,38.0,57.0,80.0,49.0,87.0,87.0,43.0,65.0,74.0,77.0,68.0,82.0,72.0,83.0,62.0,75.0,42.0,36.0,84.0,69.0,34.0,82.0,82.0,24.0,85.0,62.0,73.0,79.0,71.0,86.0,57.0,69.0,65753,59.0,50.0,66.0,33.0,43.0,55.0,78.0,81.0,85.0,72.0,73.0,82.0,44.0,81.0,93.0,47.0,83.0,71.0,29.0,90.0,90.0,14.0,32.0,74.0,83.0,86.0,87.0,83.0,100.0,77.0,54.0,48.0,96.0,62.0,69.0,85.0,26.0,81.0,72.0,89.0,53.0,67.0,57.0,73.0,61.0,77.0,82.0,78.0,82.0,64.0,78.0,62.0,65.0,72.0,73.0,70.0,65.0,84.0,24.0,65.0,69.0,64.0,59.0,89.0,64.0,58.0,71.0,70.0,30.0,88.0,66.0,87.0,83.0,66.0,68.0,61.0,89.0,89.0,74.0,74.0,69.0,84.0,72.0,61.0,67.0,77.0,47.0,70.0,91.0,53.0,81.0,61.0,55.0,81.0,48.0,68.0,85.0,83.0,78.0,80.0
7,2011,47.0,73.0,72.0,17.0,82.0,73.0,85.0,70.0,86.0,61.0,92.0,11.9,77.0,76.0,82.0,35.0,57.0,78.0,48.0,80.0,42.0,100.0,80.0,26.0,70.0,93.0,72.0,65.0,92.0,89.0,68.0,78.0,81.0,47.0,75.0,73.0,94.0,65.0,82.0,70.0,83.0,42.0,93.0,87.4,82.0,72.0,41.0,88.0,100.0,84.0,46.0,70.0,90.0,36.0,89.0,64.0,66.0,100.0,54.0,53.0,81.0,95.0,48.0,92.0,78.0,63.0,86.0,53.0,79.0,70.0,97.0,76.0,29.0,71.0,70.0,8.3,16.0,90.0,100.0,59.0,82.0,42.0,38.0,82.0,81.0,43.0,51.0,59.0,86.0,66.0,47.0,87.0,66.0,68.0,88.0,54.0,100.0,80.0,78.0,78.0,73.0,100.0,86.0,81.0,62.0,65.0,35.0,49.0,100.0,84.0,93.0,74.0,84.0,90.0,91.0,42.0,62.0,100.0,93.0,61.0,69.0,77.0,78.0,9.4,67.0,74.0,75.0,38.6,37.0,52.0,11.0,66.0,82.0,71.0,37.0,86.0,76.0,76.0,60.0,85.0,83.0,63.0,57.0,81.0,87.0,35.0,91.0,80.0,49.0,72.0,69.0,94.0,78.0,71.0,84.0,81.0,100.0,53.0,41.0,49.0,87.0,88.0,33.0,100.0,86.0,32.0,78.0,65.0,76.0,52.0,95.0,87.0,76.0,89.0,58814,63.0,44.0,85.0,30.0,35.0,70.0,85.0,73.0,86.0,83.0,94.0,88.0,65.0,85.0,82.0,49.0,60.0,75.0,40.0,80.0,88.0,16.0,24.0,100.0,89.0,87.0,93.0,100.0,81.0,88.0,41.0,51.0,100.0,64.0,63.0,92.0,25.0,67.0,93.0,60.0,95.0,80.0,57.0,79.0,71.0,77.0,85.0,83.0,91.0,54.0,73.0,64.0,82.0,100.0,63.0,62.0,76.0,87.0,24.0,65.0,84.0,68.0,63.0,88.0,67.0,59.0,69.0,61.0,30.0,89.0,65.0,88.0,90.0,59.0,76.0,34.0,86.0,100.0,92.0,81.0,97.0,73.0,66.0,97.0,71.0,75.0,70.0,62.0,90.0,49.0,56.0,86.0,55.0,69.0,53.0,83.0,70.0,82.0,91.0,71.0
8,2011,40.0,47.0,69.0,50.0,64.0,56.0,60.0,71.0,55.0,64.0,69.0,18.7,67.0,58.0,54.0,52.0,33.0,85.0,54.0,60.0,43.0,58.0,94.0,98.0,63.0,68.0,67.0,64.0,71.0,75.0,68.0,76.0,75.0,36.0,54.0,65.0,59.0,73.0,70.0,79.0,61.0,45.0,77.0,87.1,100.0,76.0,60.0,54.0,93.0,75.0,42.0,57.0,68.0,32.0,88.0,57.0,51.0,62.0,55.0,91.0,65.0,63.0,46.0,54.0,75.0,65.0,85.0,83.0,75.0,51.0,95.0,70.0,49.0,84.0,65.0,13.3,33.0,76.0,42.0,100.0,72.0,40.0,38.0,65.0,86.0,48.0,48.0,26.0,63.0,56.0,60.0,71.0,48.0,49.0,56.0,41.0,78.0,81.0,91.0,57.0,51.0,82.0,63.0,45.0,46.0,66.0,41.0,35.0,59.0,81.0,69.0,64.0,86.0,81.0,73.0,40.0,53.0,82.0,77.0,44.0,51.0,31.0,71.0,6.9,76.0,45.0,63.0,34.1,42.0,49.0,9.0,68.0,48.0,58.0,50.0,75.0,81.0,66.0,64.0,74.0,65.0,62.0,32.0,40.0,78.0,46.0,88.0,61.0,37.0,52.0,78.0,67.0,56.0,44.0,32.0,64.0,55.0,49.0,33.0,37.0,61.0,99.0,53.0,70.0,77.0,21.0,55.0,75.0,74.0,61.0,71.0,99.0,50.0,69.0,63124,80.0,40.0,51.0,22.0,36.0,58.0,100.0,88.0,77.0,67.0,78.0,84.0,32.0,60.0,98.0,35.0,70.0,48.0,21.0,78.0,66.0,18.0,18.0,65.0,83.0,69.0,83.0,65.0,85.0,67.0,38.0,59.0,73.0,62.0,51.0,72.0,100.0,72.0,66.0,65.0,49.0,53.0,55.0,53.0,58.0,63.0,70.0,77.0,87.0,74.0,69.0,61.0,70.0,51.0,53.0,50.0,73.0,48.0,21.0,60.0,61.0,77.0,51.0,64.0,64.0,55.0,65.0,77.0,28.0,84.0,64.0,59.0,74.0,38.0,97.0,40.0,71.0,52.0,89.0,66.0,52.0,57.0,75.0,63.0,76.0,68.0,67.0,49.0,47.0,53.0,50.0,70.0,42.0,74.0,30.0,73.0,98.0,58.0,74.0,70.0
9,2011,49.0,70.0,71.0,59.0,70.0,61.0,75.0,67.0,75.0,73.0,75.0,17.0,73.0,65.0,58.0,33.0,41.0,54.0,93.0,71.0,46.0,65.0,89.0,42.0,72.0,75.0,72.0,58.0,76.0,81.0,75.0,68.0,65.0,42.0,100.0,69.0,67.0,77.0,78.0,78.0,65.0,51.0,75.0,85.5,73.0,73.0,68.0,67.0,61.0,82.0,61.0,62.0,75.0,28.0,91.0,43.0,56.0,79.0,47.0,74.0,71.0,81.0,53.0,70.0,73.0,79.0,81.0,67.0,71.0,63.0,70.0,70.0,51.0,73.0,63.0,19.2,17.0,79.0,56.0,52.0,70.0,40.0,37.0,71.0,58.0,35.0,45.0,27.0,80.0,54.0,46.0,84.0,72.0,44.0,67.0,46.0,54.0,76.0,75.0,69.0,71.0,75.0,71.0,63.0,52.0,61.0,44.0,44.0,58.0,85.0,80.0,83.0,80.0,76.0,73.0,39.0,49.0,88.0,81.0,68.0,55.0,28.0,69.0,20.9,80.0,40.0,63.0,40.5,55.0,50.0,10.0,79.0,50.0,68.0,53.0,81.0,66.0,80.0,69.0,77.0,70.0,66.0,47.0,56.0,73.0,50.0,82.0,52.0,45.0,72.0,82.0,80.0,50.0,57.0,61.0,77.0,70.0,59.0,58.0,45.0,78.0,60.0,35.0,76.0,82.0,26.0,82.0,60.0,73.0,49.0,72.0,70.0,63.0,74.0,44299,59.0,45.0,60.0,29.0,39.0,71.0,70.0,74.0,81.0,75.0,51.0,77.0,67.0,63.0,94.0,43.0,60.0,64.0,33.0,78.0,81.0,12.0,25.0,89.0,81.0,88.0,76.0,81.0,82.0,96.0,47.0,45.0,81.0,60.0,63.0,81.0,21.0,74.0,60.0,67.0,50.0,58.0,54.0,77.0,67.0,73.0,78.0,74.0,84.0,68.0,63.0,50.0,65.0,72.0,65.0,63.0,75.0,67.0,32.0,64.0,80.0,61.0,47.0,77.0,75.0,59.0,56.0,64.0,29.0,87.0,67.0,73.0,79.0,49.0,78.0,56.0,72.0,55.0,85.0,78.0,60.0,74.0,65.0,56.0,70.0,73.0,64.0,57.0,88.0,67.0,60.0,45.0,40.0,78.0,44.0,76.0,67.0,66.0,84.0,64.0
