date,substance abuse,isPartial
2013-01-06,71,False
2013-01-13,69,False
2013-01-20,67,False
2013-01-27,78,False
2013-02-03,83,False
2013-02-10,78,False
2013-02-17,79,False
2013-02-24,84,False
2013-03-03,76,False
2013-03-10,72,False
2013-03-17,92,False
2013-03-24,81,False
2013-03-31,84,False
2013-04-07,92,False
2013-04-14,91,False
2013-04-21,93,False
2013-04-28,85,False
2013-05-05,88,False
2013-05-12,71,False
2013-05-19,65,False
2013-05-26,61,False
2013-06-02,73,False
2013-06-09,67,False
2013-06-16,67,False
2013-06-23,70,False
2013-06-30,61,False
2013-07-07,71,False
2013-07-14,75,False
2013-07-21,78,False
2013-07-28,69,False
2013-08-04,61,False
2013-08-11,71,False
2013-08-18,70,False
2013-08-25,71,False
2013-09-01,61,False
2013-09-08,82,False
2013-09-15,88,False
2013-09-22,84,False
2013-09-29,83,False
2013-10-06,84,False
2013-10-13,84,False
2013-10-20,89,False
2013-10-27,84,False
2013-11-03,95,False
2013-11-10,100,False
2013-11-17,91,False
2013-11-24,72,False
2013-12-01,91,False
2013-12-08,82,False
2013-12-15,63,False
2013-12-22,45,False
2013-12-29,53,False
