date,substance abuse,isPartial
2011-01-02,74,False
2011-01-09,75,False
2011-01-16,70,False
2011-01-23,68,False
2011-01-30,69,False
2011-02-06,87,False
2011-02-13,87,False
2011-02-20,75,False
2011-02-27,85,False
2011-03-06,80,False
2011-03-13,83,False
2011-03-20,82,False
2011-03-27,90,False
2011-04-03,94,False
2011-04-10,99,False
2011-04-17,93,False
2011-04-24,93,False
2011-05-01,87,False
2011-05-08,85,False
2011-05-15,79,False
2011-05-22,81,False
2011-05-29,68,False
2011-06-05,79,False
2011-06-12,70,False
2011-06-19,81,False
2011-06-26,79,False
2011-07-03,68,False
2011-07-10,76,False
2011-07-17,70,False
2011-07-24,72,False
2011-07-31,74,False
2011-08-07,51,False
2011-08-14,68,False
2011-08-21,62,False
2011-08-28,70,False
2011-09-04,59,False
2011-09-11,76,False
2011-09-18,81,False
2011-09-25,85,False
2011-10-02,84,False
2011-10-09,84,False
2011-10-16,92,False
2011-10-23,79,False
2011-10-30,81,False
2011-11-06,100,False
2011-11-13,91,False
2011-11-20,63,False
2011-11-27,90,False
2011-12-04,90,False
2011-12-11,72,False
2011-12-18,43,False
2011-12-25,45,False
