date,substance abuse,isPartial
2014-01-05,70,False
2014-01-12,79,False
2014-01-19,75,False
2014-01-26,71,False
2014-02-02,92,False
2014-02-09,77,False
2014-02-16,89,False
2014-02-23,83,False
2014-03-02,93,False
2014-03-09,84,False
2014-03-16,100,False
2014-03-23,94,False
2014-03-30,93,False
2014-04-06,91,False
2014-04-13,94,False
2014-04-20,91,False
2014-04-27,94,False
2014-05-04,83,False
2014-05-11,84,False
2014-05-18,83,False
2014-05-25,69,False
2014-06-01,78,False
2014-06-08,82,False
2014-06-15,75,False
2014-06-22,84,False
2014-06-29,80,False
2014-07-06,70,False
2014-07-13,68,False
2014-07-20,74,False
2014-07-27,76,False
2014-08-03,79,False
2014-08-10,96,False
2014-08-17,73,False
2014-08-24,84,False
2014-08-31,79,False
2014-09-07,94,False
2014-09-14,79,False
2014-09-21,79,False
2014-09-28,77,False
2014-10-05,92,False
2014-10-12,84,False
2014-10-19,89,False
2014-10-26,85,False
2014-11-02,97,False
2014-11-09,85,False
2014-11-16,96,False
2014-11-23,75,False
2014-11-30,88,False
2014-12-07,81,False
2014-12-14,70,False
2014-12-21,37,False
2014-12-28,50,False
