date,substance abuse,isPartial
2016-01-03,75,False
2016-01-10,71,False
2016-01-17,75,False
2016-01-24,78,False
2016-01-31,83,False
2016-02-07,82,False
2016-02-14,78,False
2016-02-21,91,False
2016-02-28,84,False
2016-03-06,88,False
2016-03-13,85,False
2016-03-20,89,False
2016-03-27,83,False
2016-04-03,94,False
2016-04-10,97,False
2016-04-17,93,False
2016-04-24,100,False
2016-05-01,83,False
2016-05-08,83,False
2016-05-15,69,False
2016-05-22,67,False
2016-05-29,63,False
2016-06-05,70,False
2016-06-12,74,False
2016-06-19,70,False
2016-06-26,62,False
2016-07-03,58,False
2016-07-10,69,False
2016-07-17,64,False
2016-07-24,70,False
2016-07-31,63,False
2016-08-07,61,False
2016-08-14,65,False
2016-08-21,73,False
2016-08-28,62,False
2016-09-04,66,False
2016-09-11,78,False
2016-09-18,78,False
2016-09-25,79,False
2016-10-02,80,False
2016-10-09,77,False
2016-10-16,80,False
2016-10-23,89,False
2016-10-30,84,False
2016-11-06,74,False
2016-11-13,90,False
2016-11-20,58,False
2016-11-27,82,False
2016-12-04,89,False
2016-12-11,76,False
2016-12-18,56,False
2016-12-25,53,False
