date,substance abuse,isPartial
2012-01-01,65,False
2012-01-08,80,False
2012-01-15,66,False
2012-01-22,92,False
2012-01-29,87,False
2012-02-05,87,False
2012-02-12,88,False
2012-02-19,80,False
2012-02-26,92,False
2012-03-04,95,False
2012-03-11,92,False
2012-03-18,97,False
2012-03-25,92,False
2012-04-01,82,False
2012-04-08,96,False
2012-04-15,98,False
2012-04-22,97,False
2012-04-29,98,False
2012-05-06,90,False
2012-05-13,80,False
2012-05-20,83,False
2012-05-27,73,False
2012-06-03,87,False
2012-06-10,88,False
2012-06-17,79,False
2012-06-24,76,False
2012-07-01,66,False
2012-07-08,76,False
2012-07-15,81,False
2012-07-22,79,False
2012-07-29,80,False
2012-08-05,73,False
2012-08-12,70,False
2012-08-19,75,False
2012-08-26,70,False
2012-09-02,74,False
2012-09-09,92,False
2012-09-16,80,False
2012-09-23,94,False
2012-09-30,93,False
2012-10-07,87,False
2012-10-14,84,False
2012-10-21,85,False
2012-10-28,79,False
2012-11-04,82,False
2012-11-11,99,False
2012-11-18,68,False
2012-11-25,100,False
2012-12-02,92,False
2012-12-09,78,False
2012-12-16,70,False
2012-12-23,36,False
2012-12-30,60,False
