date,substance abuse,isPartial
2015-01-04,77,False
2015-01-11,74,False
2015-01-18,77,False
2015-01-25,72,False
2015-02-01,87,False
2015-02-08,86,False
2015-02-15,80,False
2015-02-22,83,False
2015-03-01,86,False
2015-03-08,84,False
2015-03-15,87,False
2015-03-22,85,False
2015-03-29,87,False
2015-04-05,86,False
2015-04-12,92,False
2015-04-19,100,False
2015-04-26,96,False
2015-05-03,89,False
2015-05-10,77,False
2015-05-17,80,False
2015-05-24,72,False
2015-05-31,75,False
2015-06-07,76,False
2015-06-14,77,False
2015-06-21,73,False
2015-06-28,73,False
2015-07-05,75,False
2015-07-12,81,False
2015-07-19,80,False
2015-07-26,87,False
2015-08-02,74,False
2015-08-09,76,False
2015-08-16,73,False
2015-08-23,73,False
2015-08-30,79,False
2015-09-06,81,False
2015-09-13,83,False
2015-09-20,83,False
2015-09-27,83,False
2015-10-04,93,False
2015-10-11,83,False
2015-10-18,78,False
2015-10-25,91,False
2015-11-01,94,False
2015-11-08,92,False
2015-11-15,92,False
2015-11-22,73,False
2015-11-29,96,False
2015-12-06,93,False
2015-12-13,81,False
2015-12-20,48,False
2015-12-27,50,False
