date,sadness,isPartial
2012-01-01,70,False
2012-01-08,72,False
2012-01-15,74,False
2012-01-22,82,False
2012-01-29,75,False
2012-02-05,80,False
2012-02-12,63,False
2012-02-19,63,False
2012-02-26,76,False
2012-03-04,77,False
2012-03-11,64,False
2012-03-18,73,False
2012-03-25,79,False
2012-04-01,79,False
2012-04-08,81,False
2012-04-15,77,False
2012-04-22,88,False
2012-04-29,80,False
2012-05-06,73,False
2012-05-13,68,False
2012-05-20,66,False
2012-05-27,66,False
2012-06-03,70,False
2012-06-10,61,False
2012-06-17,69,False
2012-06-24,72,False
2012-07-01,68,False
2012-07-08,66,False
2012-07-15,96,False
2012-07-22,94,False
2012-07-29,91,False
2012-08-05,83,False
2012-08-12,91,False
2012-08-19,86,False
2012-08-26,74,False
2012-09-02,83,False
2012-09-09,78,False
2012-09-16,80,False
2012-09-23,92,False
2012-09-30,88,False
2012-10-07,88,False
2012-10-14,94,False
2012-10-21,80,False
2012-10-28,73,False
2012-11-04,85,False
2012-11-11,93,False
2012-11-18,92,False
2012-11-25,71,False
2012-12-02,96,False
2012-12-09,100,False
2012-12-16,81,False
2012-12-23,81,False
2012-12-30,81,False
