date,sadness,isPartial
2011-01-02,64,False
2011-01-09,87,False
2011-01-16,74,False
2011-01-23,83,False
2011-01-30,73,False
2011-02-06,80,False
2011-02-13,86,False
2011-02-20,89,False
2011-02-27,85,False
2011-03-06,83,False
2011-03-13,84,False
2011-03-20,87,False
2011-03-27,90,False
2011-04-03,94,False
2011-04-10,87,False
2011-04-17,87,False
2011-04-24,97,False
2011-05-01,100,False
2011-05-08,88,False
2011-05-15,70,False
2011-05-22,79,False
2011-05-29,88,False
2011-06-05,77,False
2011-06-12,67,False
2011-06-19,80,False
2011-06-26,74,False
2011-07-03,69,False
2011-07-10,69,False
2011-07-17,75,False
2011-07-24,78,False
2011-07-31,74,False
2011-08-07,70,False
2011-08-14,58,False
2011-08-21,72,False
2011-08-28,61,False
2011-09-04,84,False
2011-09-11,80,False
2011-09-18,91,False
2011-09-25,87,False
2011-10-02,80,False
2011-10-09,88,False
2011-10-16,82,False
2011-10-23,71,False
2011-10-30,83,False
2011-11-06,83,False
2011-11-13,98,False
2011-11-20,89,False
2011-11-27,72,False
2011-12-04,89,False
2011-12-11,73,False
2011-12-18,79,False
2011-12-25,83,False
