date,attitude,isPartial
2012-01-01,71,False
2012-01-08,72,False
2012-01-15,77,False
2012-01-22,83,False
2012-01-29,80,False
2012-02-05,85,False
2012-02-12,83,False
2012-02-19,81,False
2012-02-26,83,False
2012-03-04,87,False
2012-03-11,79,False
2012-03-18,79,False
2012-03-25,83,False
2012-04-01,77,False
2012-04-08,75,False
2012-04-15,88,False
2012-04-22,81,False
2012-04-29,78,False
2012-05-06,80,False
2012-05-13,74,False
2012-05-20,73,False
2012-05-27,68,False
2012-06-03,73,False
2012-06-10,64,False
2012-06-17,70,False
2012-06-24,65,False
2012-07-01,58,False
2012-07-08,68,False
2012-07-15,68,False
2012-07-22,87,False
2012-07-29,87,False
2012-08-05,84,False
2012-08-12,71,False
2012-08-19,83,False
2012-08-26,82,False
2012-09-02,93,False
2012-09-09,88,False
2012-09-16,90,False
2012-09-23,88,False
2012-09-30,90,False
2012-10-07,92,False
2012-10-14,84,False
2012-10-21,87,False
2012-10-28,96,False
2012-11-04,95,False
2012-11-11,99,False
2012-11-18,89,False
2012-11-25,100,False
2012-12-02,97,False
2012-12-09,93,False
2012-12-16,79,False
2012-12-23,68,False
2012-12-30,80,False
