date,attitude,isPartial
2011-01-02,87,False
2011-01-09,82,False
2011-01-16,86,False
2011-01-23,89,False
2011-01-30,86,False
2011-02-06,88,False
2011-02-13,93,False
2011-02-20,92,False
2011-02-27,92,False
2011-03-06,88,False
2011-03-13,86,False
2011-03-20,87,False
2011-03-27,95,False
2011-04-03,90,False
2011-04-10,91,False
2011-04-17,88,False
2011-04-24,89,False
2011-05-01,82,False
2011-05-08,85,False
2011-05-15,84,False
2011-05-22,82,False
2011-05-29,77,False
2011-06-05,77,False
2011-06-12,80,False
2011-06-19,78,False
2011-06-26,71,False
2011-07-03,71,False
2011-07-10,71,False
2011-07-17,70,False
2011-07-24,75,False
2011-07-31,75,False
2011-08-07,76,False
2011-08-14,83,False
2011-08-21,79,False
2011-08-28,79,False
2011-09-04,80,False
2011-09-11,89,False
2011-09-18,97,False
2011-09-25,84,False
2011-10-02,92,False
2011-10-09,92,False
2011-10-16,92,False
2011-10-23,89,False
2011-10-30,78,False
2011-11-06,86,False
2011-11-13,100,False
2011-11-20,80,False
2011-11-27,81,False
2011-12-04,91,False
2011-12-11,85,False
2011-12-18,67,False
2011-12-25,62,False
