date,obesity,isPartial
2014-01-05,53,False
2014-01-12,61,False
2014-01-19,62,False
2014-01-26,78,False
2014-02-02,79,False
2014-02-09,83,False
2014-02-16,76,False
2014-02-23,98,False
2014-03-02,90,False
2014-03-09,83,False
2014-03-16,84,False
2014-03-23,85,False
2014-03-30,83,False
2014-04-06,100,False
2014-04-13,90,False
2014-04-20,96,False
2014-04-27,94,False
2014-05-04,84,False
2014-05-11,70,False
2014-05-18,69,False
2014-05-25,65,False
2014-06-01,63,False
2014-06-08,53,False
2014-06-15,52,False
2014-06-22,55,False
2014-06-29,48,False
2014-07-06,49,False
2014-07-13,56,False
2014-07-20,52,False
2014-07-27,48,False
2014-08-03,47,False
2014-08-10,51,False
2014-08-17,44,False
2014-08-24,49,False
2014-08-31,55,False
2014-09-07,68,False
2014-09-14,77,False
2014-09-21,75,False
2014-09-28,83,False
2014-10-05,79,False
2014-10-12,81,False
2014-10-19,83,False
2014-10-26,84,False
2014-11-02,93,False
2014-11-09,91,False
2014-11-16,94,False
2014-11-23,65,False
2014-11-30,89,False
2014-12-07,83,False
2014-12-14,60,False
2014-12-21,28,False
2014-12-28,33,False
