date,obesity,isPartial
2012-01-01,57,False
2012-01-08,62,False
2012-01-15,66,False
2012-01-22,71,False
2012-01-29,80,False
2012-02-05,81,False
2012-02-12,78,False
2012-02-19,79,False
2012-02-26,87,False
2012-03-04,81,False
2012-03-11,72,False
2012-03-18,77,False
2012-03-25,83,False
2012-04-01,85,False
2012-04-08,90,False
2012-04-15,92,False
2012-04-22,90,False
2012-04-29,93,False
2012-05-06,100,False
2012-05-13,87,False
2012-05-20,69,False
2012-05-27,65,False
2012-06-03,63,False
2012-06-10,60,False
2012-06-17,57,False
2012-06-24,55,False
2012-07-01,46,False
2012-07-08,54,False
2012-07-15,54,False
2012-07-22,50,False
2012-07-29,50,False
2012-08-05,46,False
2012-08-12,54,False
2012-08-19,48,False
2012-08-26,51,False
2012-09-02,52,False
2012-09-09,71,False
2012-09-16,83,False
2012-09-23,80,False
2012-09-30,78,False
2012-10-07,80,False
2012-10-14,83,False
2012-10-21,79,False
2012-10-28,81,False
2012-11-04,76,False
2012-11-11,87,False
2012-11-18,62,False
2012-11-25,92,False
2012-12-02,92,False
2012-12-09,73,False
2012-12-16,51,False
2012-12-23,27,False
2012-12-30,38,False
