date,obesity,isPartial
2013-01-06,61,False
2013-01-13,71,False
2013-01-20,73,False
2013-01-27,84,False
2013-02-03,80,False
2013-02-10,82,False
2013-02-17,84,False
2013-02-24,90,False
2013-03-03,87,False
2013-03-10,86,False
2013-03-17,88,False
2013-03-24,83,False
2013-03-31,80,False
2013-04-07,100,False
2013-04-14,97,False
2013-04-21,99,False
2013-04-28,90,False
2013-05-05,80,False
2013-05-12,74,False
2013-05-19,62,False
2013-05-26,58,False
2013-06-02,54,False
2013-06-09,53,False
2013-06-16,75,False
2013-06-23,61,False
2013-06-30,50,False
2013-07-07,61,False
2013-07-14,58,False
2013-07-21,54,False
2013-07-28,51,False
2013-08-04,51,False
2013-08-11,46,False
2013-08-18,50,False
2013-08-25,47,False
2013-09-01,53,False
2013-09-08,67,False
2013-09-15,71,False
2013-09-22,76,False
2013-09-29,74,False
2013-10-06,81,False
2013-10-13,82,False
2013-10-20,83,False
2013-10-27,88,False
2013-11-03,93,False
2013-11-10,93,False
2013-11-17,99,False
2013-11-24,59,False
2013-12-01,97,False
2013-12-08,84,False
2013-12-15,54,False
2013-12-22,26,False
2013-12-29,36,False
