date,obesity,isPartial
2011-01-02,55,False
2011-01-09,61,False
2011-01-16,61,False
2011-01-23,71,False
2011-01-30,70,False
2011-02-06,81,False
2011-02-13,89,False
2011-02-20,81,False
2011-02-27,84,False
2011-03-06,78,False
2011-03-13,75,False
2011-03-20,87,False
2011-03-27,88,False
2011-04-03,86,False
2011-04-10,98,False
2011-04-17,88,False
2011-04-24,86,False
2011-05-01,86,False
2011-05-08,79,False
2011-05-15,74,False
2011-05-22,62,False
2011-05-29,56,False
2011-06-05,51,False
2011-06-12,49,False
2011-06-19,50,False
2011-06-26,51,False
2011-07-03,55,False
2011-07-10,58,False
2011-07-17,53,False
2011-07-24,52,False
2011-07-31,47,False
2011-08-07,40,False
2011-08-14,40,False
2011-08-21,44,False
2011-08-28,49,False
2011-09-04,53,False
2011-09-11,63,False
2011-09-18,72,False
2011-09-25,67,False
2011-10-02,69,False
2011-10-09,76,False
2011-10-16,77,False
2011-10-23,77,False
2011-10-30,79,False
2011-11-06,81,False
2011-11-13,85,False
2011-11-20,64,False
2011-11-27,100,False
2011-12-04,89,False
2011-12-11,67,False
2011-12-18,35,False
2011-12-25,27,False
