date,obesity,isPartial
2016-01-03,59,False
2016-01-10,64,False
2016-01-17,66,False
2016-01-24,76,False
2016-01-31,88,False
2016-02-07,80,False
2016-02-14,83,False
2016-02-21,92,False
2016-02-28,91,False
2016-03-06,92,False
2016-03-13,80,False
2016-03-20,80,False
2016-03-27,89,False
2016-04-03,99,False
2016-04-10,100,False
2016-04-17,95,False
2016-04-24,99,False
2016-05-01,92,False
2016-05-08,81,False
2016-05-15,73,False
2016-05-22,65,False
2016-05-29,60,False
2016-06-05,63,False
2016-06-12,53,False
2016-06-19,55,False
2016-06-26,55,False
2016-07-03,49,False
2016-07-10,58,False
2016-07-17,56,False
2016-07-24,56,False
2016-07-31,49,False
2016-08-07,44,False
2016-08-14,43,False
2016-08-21,45,False
2016-08-28,58,False
2016-09-04,62,False
2016-09-11,72,False
2016-09-18,70,False
2016-09-25,83,False
2016-10-02,77,False
2016-10-09,73,False
2016-10-16,75,False
2016-10-23,78,False
2016-10-30,85,False
2016-11-06,85,False
2016-11-13,84,False
2016-11-20,53,False
2016-11-27,85,False
2016-12-04,92,False
2016-12-11,65,False
2016-12-18,36,False
2016-12-25,30,False
