geoName,downhearted
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,36
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,19
Georgia,32
Hawaii,0
Idaho,0
Illinois,59
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,94
Michigan,44
Minnesota,100
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,28
New Mexico,0
New York,25
North Carolina,99
North Dakota,0
Ohio,56
Oklahoma,0
Oregon,20
Pennsylvania,45
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,57
Utah,0
Vermont,0
Virginia,28
Washington,16
West Virginia,0
Wisconsin,0
Wyoming,0
