geoName,downhearted
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,33
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,42
Georgia,77
Hawaii,0
Idaho,0
Illinois,21
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,73
Michigan,67
Minnesota,27
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,100
New Mexico,0
New York,66
North Carolina,16
North Dakota,0
Ohio,67
Oklahoma,0
Oregon,0
Pennsylvania,99
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,54
Utah,0
Vermont,0
Virginia,10
Washington,96
West Virginia,0
Wisconsin,0
Wyoming,0
