geoName,downhearted
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,74
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,47
Georgia,76
Hawaii,0
Idaho,0
Illinois,74
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,100
Michigan,79
Minnesota,30
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,20
New Mexico,0
New York,90
North Carolina,60
North Dakota,0
Ohio,58
Oklahoma,0
Oregon,53
Pennsylvania,45
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,47
Utah,0
Vermont,0
Virginia,64
Washington,23
West Virginia,0
Wisconsin,0
Wyoming,0
