geoName,downhearted
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,41
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,64
Georgia,53
Hawaii,0
Idaho,0
Illinois,39
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,64
Michigan,47
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,69
New Mexico,0
New York,82
North Carolina,68
North Dakota,0
Ohio,64
Oklahoma,0
Oregon,96
Pennsylvania,35
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,71
Utah,0
Vermont,0
Virginia,73
Washington,100
West Virginia,0
Wisconsin,0
Wyoming,0
