geoName,downhearted
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,97
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,84
Georgia,92
Hawaii,0
Idaho,0
Illinois,61
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,77
Michigan,69
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,100
New Mexico,0
New York,33
North Carolina,79
North Dakota,0
Ohio,53
Oklahoma,0
Oregon,90
Pennsylvania,80
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,68
Utah,0
Vermont,0
Virginia,63
Washington,53
West Virginia,0
Wisconsin,0
Wyoming,0
