date,talk,isPartial
2015-01-04,90,False
2015-01-11,91,False
2015-01-18,86,False
2015-01-25,91,False
2015-02-01,90,False
2015-02-08,90,False
2015-02-15,90,False
2015-02-22,89,False
2015-03-01,92,False
2015-03-08,94,False
2015-03-15,87,False
2015-03-22,87,False
2015-03-29,89,False
2015-04-05,89,False
2015-04-12,84,False
2015-04-19,87,False
2015-04-26,85,False
2015-05-03,84,False
2015-05-10,85,False
2015-05-17,83,False
2015-05-24,85,False
2015-05-31,88,False
2015-06-07,86,False
2015-06-14,86,False
2015-06-21,93,False
2015-06-28,94,False
2015-07-05,91,False
2015-07-12,90,False
2015-07-19,91,False
2015-07-26,90,False
2015-08-02,93,False
2015-08-09,92,False
2015-08-16,97,False
2015-08-23,94,False
2015-08-30,91,False
2015-09-06,91,False
2015-09-13,100,False
2015-09-20,91,False
2015-09-27,91,False
2015-10-04,92,False
2015-10-11,87,False
2015-10-18,85,False
2015-10-25,88,False
2015-11-01,92,False
2015-11-08,85,False
2015-11-15,89,False
2015-11-22,89,False
2015-11-29,90,False
2015-12-06,88,False
2015-12-13,85,False
2015-12-20,89,False
2015-12-27,91,False
