date,anguish,isPartial
2012-01-01,43,False
2012-01-08,90,False
2012-01-15,62,False
2012-01-22,57,False
2012-01-29,72,False
2012-02-05,51,False
2012-02-12,56,False
2012-02-19,78,False
2012-02-26,41,False
2012-03-04,52,False
2012-03-11,60,False
2012-03-18,64,False
2012-03-25,43,False
2012-04-01,52,False
2012-04-08,51,False
2012-04-15,74,False
2012-04-22,54,False
2012-04-29,51,False
2012-05-06,54,False
2012-05-13,55,False
2012-05-20,67,False
2012-05-27,58,False
2012-06-03,50,False
2012-06-10,100,False
2012-06-17,48,False
2012-06-24,42,False
2012-07-01,34,False
2012-07-08,48,False
2012-07-15,30,False
2012-07-22,49,False
2012-07-29,35,False
2012-08-05,41,False
2012-08-12,33,False
2012-08-19,64,False
2012-08-26,76,False
2012-09-02,66,False
2012-09-09,58,False
2012-09-16,69,False
2012-09-23,70,False
2012-09-30,81,False
2012-10-07,65,False
2012-10-14,50,False
2012-10-21,67,False
2012-10-28,82,False
2012-11-04,53,False
2012-11-11,70,False
2012-11-18,57,False
2012-11-25,49,False
2012-12-02,57,False
2012-12-09,67,False
2012-12-16,58,False
2012-12-23,49,False
2012-12-30,47,False
