date,anguish,isPartial
2015-01-04,63,False
2015-01-11,54,False
2015-01-18,52,False
2015-01-25,52,False
2015-02-01,63,False
2015-02-08,50,False
2015-02-15,51,False
2015-02-22,48,False
2015-03-01,74,False
2015-03-08,61,False
2015-03-15,55,False
2015-03-22,59,False
2015-03-29,48,False
2015-04-05,55,False
2015-04-12,56,False
2015-04-19,77,False
2015-04-26,56,False
2015-05-03,64,False
2015-05-10,58,False
2015-05-17,50,False
2015-05-24,29,False
2015-05-31,59,False
2015-06-07,37,False
2015-06-14,45,False
2015-06-21,39,False
2015-06-28,39,False
2015-07-05,45,False
2015-07-12,53,False
2015-07-19,54,False
2015-07-26,37,False
2015-08-02,43,False
2015-08-09,40,False
2015-08-16,47,False
2015-08-23,47,False
2015-08-30,71,False
2015-09-06,62,False
2015-09-13,78,False
2015-09-20,65,False
2015-09-27,79,False
2015-10-04,67,False
2015-10-11,59,False
2015-10-18,74,False
2015-10-25,69,False
2015-11-01,72,False
2015-11-08,79,False
2015-11-15,82,False
2015-11-22,59,False
2015-11-29,64,False
2015-12-06,74,False
2015-12-13,85,False
2015-12-20,96,False
2015-12-27,100,False
