date,mental health,isPartial
2014-01-05,85,False
2014-01-12,92,False
2014-01-19,86,False
2014-01-26,90,False
2014-02-02,89,False
2014-02-09,89,False
2014-02-16,92,False
2014-02-23,96,False
2014-03-02,92,False
2014-03-09,90,False
2014-03-16,91,False
2014-03-23,94,False
2014-03-30,93,False
2014-04-06,95,False
2014-04-13,100,False
2014-04-20,96,False
2014-04-27,97,False
2014-05-04,97,False
2014-05-11,94,False
2014-05-18,90,False
2014-05-25,89,False
2014-06-01,91,False
2014-06-08,90,False
2014-06-15,84,False
2014-06-22,80,False
2014-06-29,73,False
2014-07-06,84,False
2014-07-13,85,False
2014-07-20,83,False
2014-07-27,81,False
2014-08-03,83,False
2014-08-10,87,False
2014-08-17,92,False
2014-08-24,87,False
2014-08-31,83,False
2014-09-07,96,False
2014-09-14,97,False
2014-09-21,97,False
2014-09-28,96,False
2014-10-05,94,False
2014-10-12,91,False
2014-10-19,93,False
2014-10-26,94,False
2014-11-02,96,False
2014-11-09,94,False
2014-11-16,90,False
2014-11-23,67,False
2014-11-30,95,False
2014-12-07,88,False
2014-12-14,73,False
2014-12-21,50,False
2014-12-28,59,False
