date,mental health,isPartial
2016-01-03,82,False
2016-01-10,81,False
2016-01-17,79,False
2016-01-24,93,False
2016-01-31,87,False
2016-02-07,86,False
2016-02-14,85,False
2016-02-21,90,False
2016-02-28,88,False
2016-03-06,94,False
2016-03-13,82,False
2016-03-20,89,False
2016-03-27,88,False
2016-04-03,91,False
2016-04-10,96,False
2016-04-17,91,False
2016-04-24,98,False
2016-05-01,94,False
2016-05-08,90,False
2016-05-15,91,False
2016-05-22,82,False
2016-05-29,73,False
2016-06-05,79,False
2016-06-12,79,False
2016-06-19,80,False
2016-06-26,76,False
2016-07-03,71,False
2016-07-10,81,False
2016-07-17,75,False
2016-07-24,80,False
2016-07-31,77,False
2016-08-07,76,False
2016-08-14,77,False
2016-08-21,80,False
2016-08-28,81,False
2016-09-04,81,False
2016-09-11,92,False
2016-09-18,84,False
2016-09-25,90,False
2016-10-02,93,False
2016-10-09,100,False
2016-10-16,95,False
2016-10-23,92,False
2016-10-30,93,False
2016-11-06,86,False
2016-11-13,100,False
2016-11-20,70,False
2016-11-27,90,False
2016-12-04,93,False
2016-12-11,79,False
2016-12-18,64,False
2016-12-25,61,False
