date,mental health,isPartial
2011-01-02,90,False
2011-01-09,97,False
2011-01-16,93,False
2011-01-23,100,False
2011-01-30,86,False
2011-02-06,96,False
2011-02-13,93,False
2011-02-20,95,False
2011-02-27,98,False
2011-03-06,88,False
2011-03-13,93,False
2011-03-20,94,False
2011-03-27,97,False
2011-04-03,89,False
2011-04-10,99,False
2011-04-17,95,False
2011-04-24,96,False
2011-05-01,96,False
2011-05-08,97,False
2011-05-15,97,False
2011-05-22,88,False
2011-05-29,83,False
2011-06-05,84,False
2011-06-12,90,False
2011-06-19,84,False
2011-06-26,86,False
2011-07-03,78,False
2011-07-10,85,False
2011-07-17,88,False
2011-07-24,83,False
2011-07-31,86,False
2011-08-07,84,False
2011-08-14,83,False
2011-08-21,80,False
2011-08-28,83,False
2011-09-04,78,False
2011-09-11,92,False
2011-09-18,97,False
2011-09-25,91,False
2011-10-02,90,False
2011-10-09,91,False
2011-10-16,91,False
2011-10-23,91,False
2011-10-30,86,False
2011-11-06,88,False
2011-11-13,89,False
2011-11-20,62,False
2011-11-27,87,False
2011-12-04,90,False
2011-12-11,74,False
2011-12-18,65,False
2011-12-25,53,False
