date,mental health,isPartial
2013-01-06,91,False
2013-01-13,97,False
2013-01-20,94,False
2013-01-27,92,False
2013-02-03,98,False
2013-02-10,92,False
2013-02-17,94,False
2013-02-24,94,False
2013-03-03,92,False
2013-03-10,86,False
2013-03-17,97,False
2013-03-24,89,False
2013-03-31,91,False
2013-04-07,98,False
2013-04-14,93,False
2013-04-21,100,False
2013-04-28,94,False
2013-05-05,90,False
2013-05-12,89,False
2013-05-19,80,False
2013-05-26,79,False
2013-06-02,88,False
2013-06-09,86,False
2013-06-16,84,False
2013-06-23,78,False
2013-06-30,70,False
2013-07-07,86,False
2013-07-14,85,False
2013-07-21,86,False
2013-07-28,81,False
2013-08-04,79,False
2013-08-11,80,False
2013-08-18,88,False
2013-08-25,83,False
2013-09-01,80,False
2013-09-08,90,False
2013-09-15,98,False
2013-09-22,95,False
2013-09-29,96,False
2013-10-06,97,False
2013-10-13,94,False
2013-10-20,97,False
2013-10-27,96,False
2013-11-03,99,False
2013-11-10,100,False
2013-11-17,100,False
2013-11-24,66,False
2013-12-01,85,False
2013-12-08,88,False
2013-12-15,76,False
2013-12-22,53,False
2013-12-29,67,False
