date,mental health,isPartial
2015-01-04,73,False
2015-01-11,72,False
2015-01-18,78,False
2015-01-25,76,False
2015-02-01,76,False
2015-02-08,79,False
2015-02-15,72,False
2015-02-22,78,False
2015-03-01,79,False
2015-03-08,78,False
2015-03-15,82,False
2015-03-22,79,False
2015-03-29,77,False
2015-04-05,83,False
2015-04-12,79,False
2015-04-19,85,False
2015-04-26,85,False
2015-05-03,85,False
2015-05-10,81,False
2015-05-17,74,False
2015-05-24,71,False
2015-05-31,78,False
2015-06-07,75,False
2015-06-14,73,False
2015-06-21,77,False
2015-06-28,67,False
2015-07-05,73,False
2015-07-12,77,False
2015-07-19,76,False
2015-07-26,77,False
2015-08-02,74,False
2015-08-09,75,False
2015-08-16,74,False
2015-08-23,80,False
2015-08-30,82,False
2015-09-06,77,False
2015-09-13,86,False
2015-09-20,84,False
2015-09-27,85,False
2015-10-04,100,False
2015-10-11,89,False
2015-10-18,85,False
2015-10-25,88,False
2015-11-01,89,False
2015-11-08,84,False
2015-11-15,84,False
2015-11-22,59,False
2015-11-29,87,False
2015-12-06,88,False
2015-12-13,76,False
2015-12-20,46,False
2015-12-27,53,False
