date,mental health,isPartial
2012-01-01,77,False
2012-01-08,89,False
2012-01-15,85,False
2012-01-22,89,False
2012-01-29,87,False
2012-02-05,91,False
2012-02-12,86,False
2012-02-19,86,False
2012-02-26,92,False
2012-03-04,87,False
2012-03-11,87,False
2012-03-18,84,False
2012-03-25,83,False
2012-04-01,87,False
2012-04-08,87,False
2012-04-15,94,False
2012-04-22,92,False
2012-04-29,91,False
2012-05-06,93,False
2012-05-13,86,False
2012-05-20,87,False
2012-05-27,80,False
2012-06-03,85,False
2012-06-10,83,False
2012-06-17,91,False
2012-06-24,83,False
2012-07-01,63,False
2012-07-08,88,False
2012-07-15,85,False
2012-07-22,88,False
2012-07-29,84,False
2012-08-05,79,False
2012-08-12,81,False
2012-08-19,84,False
2012-08-26,83,False
2012-09-02,84,False
2012-09-09,94,False
2012-09-16,88,False
2012-09-23,91,False
2012-09-30,93,False
2012-10-07,90,False
2012-10-14,88,False
2012-10-21,91,False
2012-10-28,82,False
2012-11-04,85,False
2012-11-11,90,False
2012-11-18,59,False
2012-11-25,89,False
2012-12-02,88,False
2012-12-09,89,False
2012-12-16,100,False
2012-12-23,56,False
2012-12-30,74,False
