geoName,caregiver
Alabama,33
Alaska,38
Arizona,100
Arkansas,22
California,61
Colorado,44
Connecticut,35
Delaware,43
District of Columbia,31
Florida,38
Georgia,34
Hawaii,70
Idaho,49
Illinois,43
Indiana,33
Iowa,29
Kansas,40
Kentucky,33
Louisiana,29
Maine,55
Maryland,44
Massachusetts,36
Michigan,58
Minnesota,34
Mississippi,44
Missouri,26
Montana,47
Nebraska,42
Nevada,47
New Hampshire,37
New Jersey,35
New Mexico,34
New York,27
North Carolina,36
North Dakota,18
Ohio,36
Oklahoma,36
Oregon,82
Pennsylvania,38
Rhode Island,48
South Carolina,37
South Dakota,26
Tennessee,43
Texas,33
Utah,37
Vermont,67
Virginia,37
Washington,59
West Virginia,41
Wisconsin,57
Wyoming,30
