date,caregiver,isPartial
2011-01-02,100,False
2011-01-09,91,False
2011-01-16,87,False
2011-01-23,82,False
2011-01-30,82,False
2011-02-06,79,False
2011-02-13,78,False
2011-02-20,85,False
2011-02-27,86,False
2011-03-06,94,False
2011-03-13,77,False
2011-03-20,85,False
2011-03-27,92,False
2011-04-03,99,False
2011-04-10,90,False
2011-04-17,83,False
2011-04-24,73,False
2011-05-01,86,False
2011-05-08,96,False
2011-05-15,90,False
2011-05-22,94,False
2011-05-29,86,False
2011-06-05,87,False
2011-06-12,88,False
2011-06-19,90,False
2011-06-26,90,False
2011-07-03,89,False
2011-07-10,84,False
2011-07-17,93,False
2011-07-24,90,False
2011-07-31,90,False
2011-08-07,89,False
2011-08-14,97,False
2011-08-21,90,False
2011-08-28,85,False
2011-09-04,88,False
2011-09-11,76,False
2011-09-18,89,False
2011-09-25,85,False
2011-10-02,84,False
2011-10-09,98,False
2011-10-16,74,False
2011-10-23,81,False
2011-10-30,85,False
2011-11-06,77,False
2011-11-13,78,False
2011-11-20,58,False
2011-11-27,84,False
2011-12-04,70,False
2011-12-11,82,False
2011-12-18,67,False
2011-12-25,59,False
