geoName,caregiver
Alabama,40
Alaska,23
Arizona,81
Arkansas,20
California,54
Colorado,46
Connecticut,37
Delaware,29
District of Columbia,26
Florida,32
Georgia,32
Hawaii,55
Idaho,29
Illinois,36
Indiana,26
Iowa,24
Kansas,24
Kentucky,28
Louisiana,20
Maine,28
Maryland,35
Massachusetts,27
Michigan,67
Minnesota,28
Mississippi,27
Missouri,28
Montana,100
Nebraska,33
Nevada,39
New Hampshire,42
New Jersey,23
New Mexico,39
New York,21
North Carolina,25
North Dakota,40
Ohio,26
Oklahoma,24
Oregon,67
Pennsylvania,30
Rhode Island,37
South Carolina,28
South Dakota,29
Tennessee,43
Texas,29
Utah,23
Vermont,61
Virginia,25
Washington,57
West Virginia,37
Wisconsin,47
Wyoming,41
