date,caregiver,isPartial
2016-01-03,74,False
2016-01-10,74,False
2016-01-17,70,False
2016-01-24,78,False
2016-01-31,78,False
2016-02-07,70,False
2016-02-14,74,False
2016-02-21,81,False
2016-02-28,73,False
2016-03-06,77,False
2016-03-13,64,False
2016-03-20,73,False
2016-03-27,72,False
2016-04-03,82,False
2016-04-10,76,False
2016-04-17,81,False
2016-04-24,79,False
2016-05-01,78,False
2016-05-08,78,False
2016-05-15,80,False
2016-05-22,69,False
2016-05-29,84,False
2016-06-05,78,False
2016-06-12,85,False
2016-06-19,82,False
2016-06-26,79,False
2016-07-03,66,False
2016-07-10,79,False
2016-07-17,100,False
2016-07-24,88,False
2016-07-31,81,False
2016-08-07,78,False
2016-08-14,76,False
2016-08-21,78,False
2016-08-28,98,False
2016-09-04,86,False
2016-09-11,78,False
2016-09-18,72,False
2016-09-25,85,False
2016-10-02,75,False
2016-10-09,81,False
2016-10-16,82,False
2016-10-23,86,False
2016-10-30,78,False
2016-11-06,70,False
2016-11-13,83,False
2016-11-20,57,False
2016-11-27,75,False
2016-12-04,78,False
2016-12-11,76,False
2016-12-18,59,False
2016-12-25,70,False
