geoName,caregiver
Alabama,13
Alaska,23
Arizona,28
Arkansas,11
California,18
Colorado,14
Connecticut,12
Delaware,16
District of Columbia,10
Florida,12
Georgia,10
Hawaii,14
Idaho,11
Illinois,13
Indiana,12
Iowa,9
Kansas,10
Kentucky,11
Louisiana,9
Maine,18
Maryland,13
Massachusetts,13
Michigan,17
Minnesota,10
Mississippi,11
Missouri,10
Montana,12
Nebraska,11
Nevada,16
New Hampshire,12
New Jersey,9
New Mexico,18
New York,10
North Carolina,10
North Dakota,12
Ohio,9
Oklahoma,7
Oregon,22
Pennsylvania,13
Rhode Island,16
South Carolina,12
South Dakota,5
Tennessee,14
Texas,10
Utah,9
Vermont,12
Virginia,12
Washington,19
West Virginia,13
Wisconsin,100
Wyoming,13
