date,caregiver,isPartial
2015-01-04,83,False
2015-01-11,84,False
2015-01-18,89,False
2015-01-25,80,False
2015-02-01,84,False
2015-02-08,80,False
2015-02-15,83,False
2015-02-22,91,False
2015-03-01,90,False
2015-03-08,84,False
2015-03-15,89,False
2015-03-22,88,False
2015-03-29,83,False
2015-04-05,96,False
2015-04-12,85,False
2015-04-19,94,False
2015-04-26,78,False
2015-05-03,89,False
2015-05-10,87,False
2015-05-17,90,False
2015-05-24,84,False
2015-05-31,90,False
2015-06-07,96,False
2015-06-14,83,False
2015-06-21,86,False
2015-06-28,87,False
2015-07-05,87,False
2015-07-12,97,False
2015-07-19,83,False
2015-07-26,95,False
2015-08-02,95,False
2015-08-09,92,False
2015-08-16,96,False
2015-08-23,96,False
2015-08-30,91,False
2015-09-06,85,False
2015-09-13,88,False
2015-09-20,93,False
2015-09-27,88,False
2015-10-04,91,False
2015-10-11,98,False
2015-10-18,94,False
2015-10-25,90,False
2015-11-01,100,False
2015-11-08,88,False
2015-11-15,83,False
2015-11-22,64,False
2015-11-29,73,False
2015-12-06,79,False
2015-12-13,68,False
2015-12-20,67,False
2015-12-27,79,False
