date,caregiver,isPartial
2013-01-06,71,False
2013-01-13,74,False
2013-01-20,78,False
2013-01-27,87,False
2013-02-03,74,False
2013-02-10,74,False
2013-02-17,72,False
2013-02-24,80,False
2013-03-03,75,False
2013-03-10,78,False
2013-03-17,75,False
2013-03-24,79,False
2013-03-31,76,False
2013-04-07,84,False
2013-04-14,76,False
2013-04-21,85,False
2013-04-28,81,False
2013-05-05,85,False
2013-05-12,81,False
2013-05-19,78,False
2013-05-26,86,False
2013-06-02,83,False
2013-06-09,79,False
2013-06-16,83,False
2013-06-23,82,False
2013-06-30,75,False
2013-07-07,89,False
2013-07-14,82,False
2013-07-21,74,False
2013-07-28,76,False
2013-08-04,89,False
2013-08-11,88,False
2013-08-18,85,False
2013-08-25,93,False
2013-09-01,88,False
2013-09-08,78,False
2013-09-15,87,False
2013-09-22,89,False
2013-09-29,82,False
2013-10-06,97,False
2013-10-13,87,False
2013-10-20,87,False
2013-10-27,97,False
2013-11-03,100,False
2013-11-10,87,False
2013-11-17,94,False
2013-11-24,75,False
2013-12-01,84,False
2013-12-08,81,False
2013-12-15,71,False
2013-12-22,60,False
2013-12-29,80,False
