date,caregiver,isPartial
2014-01-05,76,False
2014-01-12,93,False
2014-01-19,99,False
2014-01-26,87,False
2014-02-02,68,False
2014-02-09,73,False
2014-02-16,80,False
2014-02-23,80,False
2014-03-02,70,False
2014-03-09,80,False
2014-03-16,91,False
2014-03-23,88,False
2014-03-30,80,False
2014-04-06,81,False
2014-04-13,90,False
2014-04-20,75,False
2014-04-27,82,False
2014-05-04,79,False
2014-05-11,94,False
2014-05-18,89,False
2014-05-25,87,False
2014-06-01,93,False
2014-06-08,83,False
2014-06-15,93,False
2014-06-22,97,False
2014-06-29,88,False
2014-07-06,89,False
2014-07-13,96,False
2014-07-20,96,False
2014-07-27,100,False
2014-08-03,97,False
2014-08-10,85,False
2014-08-17,90,False
2014-08-24,98,False
2014-08-31,83,False
2014-09-07,92,False
2014-09-14,95,False
2014-09-21,91,False
2014-09-28,92,False
2014-10-05,91,False
2014-10-12,93,False
2014-10-19,95,False
2014-10-26,86,False
2014-11-02,89,False
2014-11-09,85,False
2014-11-16,88,False
2014-11-23,70,False
2014-11-30,78,False
2014-12-07,78,False
2014-12-14,82,False
2014-12-21,66,False
2014-12-28,73,False
