geoName,caregiver
Alabama,16
Alaska,14
Arizona,42
Arkansas,17
California,28
Colorado,19
Connecticut,14
Delaware,16
District of Columbia,17
Florida,17
Georgia,16
Hawaii,25
Idaho,17
Illinois,19
Indiana,16
Iowa,11
Kansas,15
Kentucky,15
Louisiana,14
Maine,24
Maryland,17
Massachusetts,19
Michigan,23
Minnesota,16
Mississippi,15
Missouri,15
Montana,16
Nebraska,18
Nevada,19
New Hampshire,16
New Jersey,12
New Mexico,18
New York,10
North Carolina,17
North Dakota,13
Ohio,13
Oklahoma,10
Oregon,20
Pennsylvania,15
Rhode Island,31
South Carolina,16
South Dakota,12
Tennessee,22
Texas,15
Utah,14
Vermont,19
Virginia,13
Washington,25
West Virginia,16
Wisconsin,100
Wyoming,9
