geoName,caregiver
Alabama,36
Alaska,59
Arizona,100
Arkansas,43
California,65
Colorado,45
Connecticut,38
Delaware,37
District of Columbia,35
Florida,39
Georgia,36
Hawaii,56
Idaho,44
Illinois,44
Indiana,36
Iowa,27
Kansas,29
Kentucky,33
Louisiana,33
Maine,65
Maryland,39
Massachusetts,43
Michigan,66
Minnesota,34
Mississippi,35
Missouri,32
Montana,46
Nebraska,31
Nevada,54
New Hampshire,35
New Jersey,29
New Mexico,70
New York,23
North Carolina,38
North Dakota,27
Ohio,32
Oklahoma,29
Oregon,57
Pennsylvania,34
Rhode Island,52
South Carolina,44
South Dakota,19
Tennessee,41
Texas,36
Utah,27
Vermont,63
Virginia,36
Washington,64
West Virginia,40
Wisconsin,83
Wyoming,21
