date,caregiver,isPartial
2012-01-01,81,False
2012-01-08,75,False
2012-01-15,77,False
2012-01-22,81,False
2012-01-29,77,False
2012-02-05,87,False
2012-02-12,92,False
2012-02-19,87,False
2012-02-26,90,False
2012-03-04,78,False
2012-03-11,81,False
2012-03-18,79,False
2012-03-25,84,False
2012-04-01,72,False
2012-04-08,80,False
2012-04-15,89,False
2012-04-22,89,False
2012-04-29,80,False
2012-05-06,83,False
2012-05-13,83,False
2012-05-20,73,False
2012-05-27,79,False
2012-06-03,70,False
2012-06-10,75,False
2012-06-17,97,False
2012-06-24,90,False
2012-07-01,82,False
2012-07-08,87,False
2012-07-15,100,False
2012-07-22,94,False
2012-07-29,95,False
2012-08-05,78,False
2012-08-12,90,False
2012-08-19,84,False
2012-08-26,89,False
2012-09-02,75,False
2012-09-09,83,False
2012-09-16,91,False
2012-09-23,87,False
2012-09-30,89,False
2012-10-07,88,False
2012-10-14,80,False
2012-10-21,76,False
2012-10-28,90,False
2012-11-04,91,False
2012-11-11,75,False
2012-11-18,72,False
2012-11-25,88,False
2012-12-02,87,False
2012-12-09,61,False
2012-12-16,56,False
2012-12-23,60,False
2012-12-30,67,False
