date,pain,isPartial
2016-01-03,94,False
2016-01-10,91,False
2016-01-17,93,False
2016-01-24,97,False
2016-01-31,96,False
2016-02-07,91,False
2016-02-14,97,False
2016-02-21,97,False
2016-02-28,97,False
2016-03-06,96,False
2016-03-13,96,False
2016-03-20,95,False
2016-03-27,96,False
2016-04-03,97,False
2016-04-10,98,False
2016-04-17,95,False
2016-04-24,92,False
2016-05-01,94,False
2016-05-08,95,False
2016-05-15,96,False
2016-05-22,94,False
2016-05-29,93,False
2016-06-05,99,False
2016-06-12,95,False
2016-06-19,95,False
2016-06-26,98,False
2016-07-03,95,False
2016-07-10,97,False
2016-07-17,98,False
2016-07-24,99,False
2016-07-31,97,False
2016-08-07,93,False
2016-08-14,97,False
2016-08-21,93,False
2016-08-28,95,False
2016-09-04,93,False
2016-09-11,97,False
2016-09-18,97,False
2016-09-25,94,False
2016-10-02,92,False
2016-10-09,97,False
2016-10-16,97,False
2016-10-23,95,False
2016-10-30,96,False
2016-11-06,84,False
2016-11-13,92,False
2016-11-20,88,False
2016-11-27,90,False
2016-12-04,89,False
2016-12-11,90,False
2016-12-18,93,False
2016-12-25,100,False
