date,pain,isPartial
2015-01-04,86,False
2015-01-11,84,False
2015-01-18,86,False
2015-01-25,87,False
2015-02-01,85,False
2015-02-08,83,False
2015-02-15,82,False
2015-02-22,84,False
2015-03-01,84,False
2015-03-08,88,False
2015-03-15,86,False
2015-03-22,87,False
2015-03-29,89,False
2015-04-05,88,False
2015-04-12,89,False
2015-04-19,88,False
2015-04-26,87,False
2015-05-03,84,False
2015-05-10,86,False
2015-05-17,88,False
2015-05-24,87,False
2015-05-31,89,False
2015-06-07,91,False
2015-06-14,87,False
2015-06-21,93,False
2015-06-28,88,False
2015-07-05,96,False
2015-07-12,90,False
2015-07-19,92,False
2015-07-26,91,False
2015-08-02,93,False
2015-08-09,90,False
2015-08-16,94,False
2015-08-23,92,False
2015-08-30,100,False
2015-09-06,100,False
2015-09-13,95,False
2015-09-20,91,False
2015-09-27,92,False
2015-10-04,91,False
2015-10-11,89,False
2015-10-18,86,False
2015-10-25,88,False
2015-11-01,89,False
2015-11-08,86,False
2015-11-15,84,False
2015-11-22,81,False
2015-11-29,83,False
2015-12-06,82,False
2015-12-13,81,False
2015-12-20,88,False
2015-12-27,91,False
